,Cancer,Gender,Larynx,Lung,Nasal,Race,State,Trachea,Year
0,Larynx,Male,8.1,,,Black or African American,NJ,,1999
1,Larynx,Male,8.5,,,Black or African American,NJ,,2000
2,Larynx,Male,8.4,,,Black or African American,NJ,,2001
3,Larynx,Male,7.7,,,Black or African American,NJ,,2002
4,Larynx,Male,6.1,,,Black or African American,NJ,,2003
5,Larynx,Male,7.6,,,Black or African American,NJ,,2004
6,Larynx,Male,6.7,,,Black or African American,NJ,,2005
7,Larynx,Male,7.2,,,Black or African American,NJ,,2006
8,Larynx,Male,7.5,,,Black or African American,NJ,,2007
9,Larynx,Male,6.5,,,Black or African American,NJ,,2008
10,Larynx,Male,6.7,,,Black or African American,NJ,,2009
11,Larynx,Male,5.9,,,Black or African American,NJ,,2010
12,Larynx,Male,5.0,,,Black or African American,NJ,,2011
13,Larynx,Male,4.1,,,Black or African American,NJ,,2012
14,Larynx,Male,6.5,,,Black or African American,NJ,,2013
15,Larynx,Male,4.4,,,Black or African American,NJ,,2014
16,Larynx,Male,4.5,,,Black or African American,NJ,,2015
17,Larynx,Male,4.869660292761026,,,Black or African American,NJ,,2016
18,Larynx,Male,3.110416180030037,,,Black or African American,NJ,,2017
19,Larynx,Male,2.0738874222193187,,,Black or African American,NJ,,2018
20,Larynx,Male,2.489218733317783,,,Black or African American,NJ,,2019
21,Larynx,Male,2.1270981790276764,,,Black or African American,NJ,,2020
22,Larynx,Male,1.632229836795356,,,Black or African American,NJ,,2021
23,Larynx,Male,0.1587589120191022,,,Black or African American,NJ,,2022
24,Larynx,Male,0.30504272230763085,,,Black or African American,NJ,,2023
25,Larynx,Male,0.0,,,Black or African American,NJ,,2024
26,Larynx,Male,0.09562378072658184,,,Black or African American,NJ,,2025
27,Lung,Male,,73.2,,White,VA,,1999
28,Lung,Male,,72.0,,White,VA,,2000
29,Lung,Male,,68.0,,White,VA,,2001
30,Lung,Male,,74.1,,White,VA,,2002
31,Lung,Male,,84.7,,White,VA,,2003
32,Lung,Male,,84.5,,White,VA,,2004
33,Lung,Male,,82.6,,White,VA,,2005
34,Lung,Male,,79.4,,White,VA,,2006
35,Lung,Male,,80.5,,White,VA,,2007
36,Lung,Male,,82.9,,White,VA,,2008
37,Lung,Male,,79.5,,White,VA,,2009
38,Lung,Male,,80.1,,White,VA,,2010
39,Lung,Male,,74.5,,White,VA,,2011
40,Lung,Male,,78.6,,White,VA,,2012
41,Lung,Male,,75.0,,White,VA,,2013
42,Lung,Male,,75.1,,White,VA,,2014
43,Lung,Male,,69.8,,White,VA,,2015
44,Lung,Male,,69.48928112221617,,White,VA,,2016
45,Lung,Male,,48.19855901291282,,White,VA,,2017
46,Lung,Male,,0.0,,White,VA,,2018
47,Lung,Male,,37.67141015777258,,White,VA,,2019
48,Lung,Male,,0.0,,White,VA,,2020
49,Lung,Male,,30.606208748888122,,White,VA,,2021
50,Lung,Male,,0.0,,White,VA,,2022
51,Lung,Male,,76.99642730394953,,White,VA,,2023
52,Lung,Male,,0.0,,White,VA,,2024
53,Lung,Male,,152.41658411905354,,White,VA,,2025
54,Larynx,Female,2.8,,,White,LA,,1999
55,Larynx,Female,2.6,,,White,LA,,2000
56,Larynx,Female,3.2,,,White,LA,,2001
57,Larynx,Female,2.1,,,White,LA,,2002
58,Larynx,Female,2.3,,,White,LA,,2003
59,Larynx,Female,2.7,,,White,LA,,2004
60,Larynx,Female,1.9,,,White,LA,,2005
61,Larynx,Female,2.5,,,White,LA,,2006
62,Larynx,Female,3.0,,,White,LA,,2007
63,Larynx,Female,2.0,,,White,LA,,2008
64,Larynx,Female,3.2,,,White,LA,,2009
65,Larynx,Female,2.7,,,White,LA,,2010
66,Larynx,Female,2.4,,,White,LA,,2011
67,Larynx,Female,2.4,,,White,LA,,2012
68,Larynx,Female,2.9,,,White,LA,,2013
69,Larynx,Female,2.4,,,White,LA,,2014
70,Larynx,Female,3.6,,,White,LA,,2015
71,Larynx,Female,2.9211393458077217,,,White,LA,,2016
72,Larynx,Female,2.8052467128357845,,,White,LA,,2017
73,Larynx,Female,0.23267911619842874,,,White,LA,,2018
74,Larynx,Female,2.0546196227026323,,,White,LA,,2019
75,Larynx,Female,0.0,,,White,LA,,2020
76,Larynx,Female,4.38363808033765,,,White,LA,,2021
77,Larynx,Female,0.0,,,White,LA,,2022
78,Larynx,Female,6.841741093026942,,,White,LA,,2023
79,Larynx,Female,0.0,,,White,LA,,2024
80,Larynx,Female,11.441483737306518,,,White,LA,,2025
81,Lung,Male,,95.5,,White,IN,,1999
82,Lung,Male,,92.7,,White,IN,,2000
