,Year,Larynx,State,Gender,Race,Cancer
0,1999,7.2,AL,Male,Black or African American,Larynx
1,2000,9.6,AL,Male,Black or African American,Larynx
2,2001,9.9,AL,Male,Black or African American,Larynx
3,2002,9.3,AL,Male,Black or African American,Larynx
4,2003,9.6,AL,Male,Black or African American,Larynx
5,2004,10.8,AL,Male,Black or African American,Larynx
6,2005,9.4,AL,Male,Black or African American,Larynx
7,2006,12.4,AL,Male,Black or African American,Larynx
8,2007,9.2,AL,Male,Black or African American,Larynx
9,2008,12.3,AL,Male,Black or African American,Larynx
10,2009,6.7,AL,Male,Black or African American,Larynx
11,2010,8.2,AL,Male,Black or African American,Larynx
12,2011,9.0,AL,Male,Black or African American,Larynx
13,2012,8.3,AL,Male,Black or African American,Larynx
14,2013,7.4,AL,Male,Black or African American,Larynx
15,2014,9.9,AL,Male,Black or African American,Larynx
16,2015,9.5,AL,Male,Black or African American,Larynx
0,2016,9.050687815830747,AL,Male,Black or African American,Larynx
1,2017,7.760755793136759,AL,Male,Black or African American,Larynx
2,2018,3.4448788207946546,AL,Male,Black or African American,Larynx
3,2019,4.400599138312231,AL,Male,Black or African American,Larynx
4,2020,0.5363805132197417,AL,Male,Black or African American,Larynx
5,2021,4.65177765549973,AL,Male,Black or African American,Larynx
6,2022,0.0,AL,Male,Black or African American,Larynx
7,2023,5.45450657386572,AL,Male,Black or African American,Larynx
8,2024,0.0,AL,Male,Black or African American,Larynx
9,2025,7.687455582534334,AL,Male,Black or African American,Larynx
