,Year,Lung,State,Gender,Race,Cancer
0,1999,61.3,AL,Female,White,Lung
1,2000,67.2,AL,Female,White,Lung
2,2001,68.4,AL,Female,White,Lung
3,2002,72.6,AL,Female,White,Lung
4,2003,71.8,AL,Female,White,Lung
5,2004,72.9,AL,Female,White,Lung
6,2005,77.7,AL,Female,White,Lung
7,2006,73.5,AL,Female,White,Lung
8,2007,76.9,AL,Female,White,Lung
9,2008,81.3,AL,Female,White,Lung
10,2009,80.2,AL,Female,White,Lung
11,2010,78.8,AL,Female,White,Lung
12,2011,82.7,AL,Female,White,Lung
13,2012,80.7,AL,Female,White,Lung
14,2013,78.9,AL,Female,White,Lung
15,2014,76.0,AL,Female,White,Lung
16,2015,79.8,AL,Female,White,Lung
0,2016,72.73819768199934,AL,Female,White,Lung
1,2017,50.980880359138574,AL,Female,White,Lung
2,2018,11.031212576606933,AL,Female,White,Lung
3,2019,0.0,AL,Female,White,Lung
4,2020,0.0,AL,Female,White,Lung
5,2021,0.0,AL,Female,White,Lung
6,2022,0.0,AL,Female,White,Lung
7,2023,0.0,AL,Female,White,Lung
8,2024,0.0,AL,Female,White,Lung
9,2025,0.0,AL,Female,White,Lung
