,Year,Larynx,State,Gender,Race,Cancer
0,1999,2.1,AL,Female,White,Larynx
1,2000,2.2,AL,Female,White,Larynx
2,2001,1.7,AL,Female,White,Larynx
3,2002,2.4,AL,Female,White,Larynx
4,2003,2.2,AL,Female,White,Larynx
5,2004,3.1,AL,Female,White,Larynx
6,2005,2.8,AL,Female,White,Larynx
7,2006,2.6,AL,Female,White,Larynx
8,2007,2.2,AL,Female,White,Larynx
9,2008,2.9,AL,Female,White,Larynx
10,2009,2.3,AL,Female,White,Larynx
11,2010,2.1,AL,Female,White,Larynx
12,2011,2.8,AL,Female,White,Larynx
13,2012,2.1,AL,Female,White,Larynx
14,2013,2.6,AL,Female,White,Larynx
15,2014,2.6,AL,Female,White,Larynx
16,2015,2.5,AL,Female,White,Larynx
0,2016,2.474283723589458,AL,Female,White,Larynx
1,2017,2.1634014170049283,AL,Female,White,Larynx
2,2018,1.5768082610526355,AL,Female,White,Larynx
3,2019,0.8161348253654219,AL,Female,White,Larynx
4,2020,1.4176338304719298,AL,Female,White,Larynx
5,2021,0.6452024381282352,AL,Female,White,Larynx
6,2022,0.5704544863870846,AL,Female,White,Larynx
7,2023,0.6579677818522116,AL,Female,White,Larynx
8,2024,0.1281238618292213,AL,Female,White,Larynx
9,2025,0.3752526661364798,AL,Female,White,Larynx
