,Year,Lung,State,Gender,Race,Cancer
0,1999,110.3,AL,Male,White,Lung
1,2000,111.5,AL,Male,White,Lung
2,2001,116.8,AL,Male,White,Lung
3,2002,112.6,AL,Male,White,Lung
4,2003,112.6,AL,Male,White,Lung
5,2004,118.0,AL,Male,White,Lung
6,2005,111.2,AL,Male,White,Lung
7,2006,116.6,AL,Male,White,Lung
8,2007,113.6,AL,Male,White,Lung
9,2008,121.0,AL,Male,White,Lung
10,2009,114.7,AL,Male,White,Lung
11,2010,115.2,AL,Male,White,Lung
12,2011,106.9,AL,Male,White,Lung
13,2012,113.8,AL,Male,White,Lung
14,2013,107.2,AL,Male,White,Lung
15,2014,111.4,AL,Male,White,Lung
16,2015,107.0,AL,Male,White,Lung
0,2016,110.65526438370156,AL,Male,White,Lung
1,2017,66.34669497913208,AL,Male,White,Lung
2,2018,24.205763058942345,AL,Male,White,Lung
3,2019,64.68643115108438,AL,Male,White,Lung
4,2020,5.0486692079743705,AL,Male,White,Lung
5,2021,66.09836345989412,AL,Male,White,Lung
6,2022,0.0,AL,Male,White,Lung
7,2023,89.4692732831393,AL,Male,White,Lung
8,2024,0.0,AL,Male,White,Lung
9,2025,161.53088251326562,AL,Male,White,Lung
