,Year,Larynx,State,Gender,Race,Cancer
0,1999,8.8,AL,Male,White,Larynx
1,2000,9.5,AL,Male,White,Larynx
2,2001,8.9,AL,Male,White,Larynx
3,2002,8.9,AL,Male,White,Larynx
4,2003,8.2,AL,Male,White,Larynx
5,2004,9.5,AL,Male,White,Larynx
6,2005,9.2,AL,Male,White,Larynx
7,2006,9.0,AL,Male,White,Larynx
8,2007,10.3,AL,Male,White,Larynx
9,2008,10.1,AL,Male,White,Larynx
10,2009,10.1,AL,Male,White,Larynx
11,2010,11.0,AL,Male,White,Larynx
12,2011,11.5,AL,Male,White,Larynx
13,2012,9.1,AL,Male,White,Larynx
14,2013,8.6,AL,Male,White,Larynx
15,2014,8.4,AL,Male,White,Larynx
16,2015,8.8,AL,Male,White,Larynx
0,2016,10.111469500501133,AL,Male,White,Larynx
1,2017,3.4638147748447925,AL,Male,White,Larynx
2,2018,5.048406393563733,AL,Male,White,Larynx
3,2019,4.27328128730251,AL,Male,White,Larynx
4,2020,5.037133042600434,AL,Male,White,Larynx
5,2021,9.596137322046904,AL,Male,White,Larynx
6,2022,4.698401360262029,AL,Male,White,Larynx
7,2023,0.0,AL,Male,White,Larynx
8,2024,1.0248375927072315,AL,Male,White,Larynx
9,2025,0.2927920977191889,AL,Male,White,Larynx
