,Year,Lung,State,Gender,Race,Cancer
0,1999,56.1,AZ,Female,White,Lung
1,2000,61.7,AZ,Female,White,Lung
2,2001,61.5,AZ,Female,White,Lung
3,2002,58.7,AZ,Female,White,Lung
4,2003,60.8,AZ,Female,White,Lung
5,2004,59.8,AZ,Female,White,Lung
6,2005,64.2,AZ,Female,White,Lung
7,2006,60.3,AZ,Female,White,Lung
8,2007,62.2,AZ,Female,White,Lung
9,2008,60.0,AZ,Female,White,Lung
10,2009,63.8,AZ,Female,White,Lung
11,2010,60.1,AZ,Female,White,Lung
12,2011,62.9,AZ,Female,White,Lung
13,2012,63.0,AZ,Female,White,Lung
14,2013,62.4,AZ,Female,White,Lung
15,2014,61.6,AZ,Female,White,Lung
16,2015,63.6,AZ,Female,White,Lung
0,2016,63.497891428076066,AZ,Female,White,Lung
1,2017,80.7102469369208,AZ,Female,White,Lung
2,2018,45.547834014335194,AZ,Female,White,Lung
3,2019,88.70089321801915,AZ,Female,White,Lung
4,2020,0.0,AZ,Female,White,Lung
5,2021,113.57325613573349,AZ,Female,White,Lung
6,2022,0.0,AZ,Female,White,Lung
7,2023,200.50728036977898,AZ,Female,White,Lung
8,2024,0.0,AZ,Female,White,Lung
9,2025,411.8440205000659,AZ,Female,White,Lung
