,Year,Larynx,State,Gender,Race,Cancer
0,1999,1.7,AZ,Female,White,Larynx
1,2000,1.4,AZ,Female,White,Larynx
2,2001,1.5,AZ,Female,White,Larynx
3,2002,1.2,AZ,Female,White,Larynx
4,2003,1.1,AZ,Female,White,Larynx
5,2004,1.3,AZ,Female,White,Larynx
6,2005,1.3,AZ,Female,White,Larynx
7,2006,1.1,AZ,Female,White,Larynx
8,2007,1.2,AZ,Female,White,Larynx
9,2008,1.3,AZ,Female,White,Larynx
10,2009,1.3,AZ,Female,White,Larynx
11,2010,0.9,AZ,Female,White,Larynx
12,2011,1.0,AZ,Female,White,Larynx
13,2012,0.9,AZ,Female,White,Larynx
14,2013,1.2,AZ,Female,White,Larynx
15,2014,1.0,AZ,Female,White,Larynx
16,2015,1.2,AZ,Female,White,Larynx
0,2016,0.8518285336925872,AZ,Female,White,Larynx
1,2017,0.5541052196673183,AZ,Female,White,Larynx
2,2018,0.29873691182186846,AZ,Female,White,Larynx
3,2019,0.8838040311096073,AZ,Female,White,Larynx
4,2020,0.0,AZ,Female,White,Larynx
5,2021,0.8828760070931252,AZ,Female,White,Larynx
6,2022,0.0,AZ,Female,White,Larynx
7,2023,1.4748758655483742,AZ,Female,White,Larynx
8,2024,0.0,AZ,Female,White,Larynx
9,2025,2.901841562686661,AZ,Female,White,Larynx
