,Year,Lung,State,Gender,Race,Cancer
0,1999,38.2,CA,Male,Asian or Pacific Islander,Lung
1,2000,41.8,CA,Male,Asian or Pacific Islander,Lung
2,2001,39.7,CA,Male,Asian or Pacific Islander,Lung
3,2002,36.9,CA,Male,Asian or Pacific Islander,Lung
4,2003,40.8,CA,Male,Asian or Pacific Islander,Lung
5,2004,40.3,CA,Male,Asian or Pacific Islander,Lung
6,2005,39.8,CA,Male,Asian or Pacific Islander,Lung
7,2006,40.0,CA,Male,Asian or Pacific Islander,Lung
8,2007,38.5,CA,Male,Asian or Pacific Islander,Lung
9,2008,39.4,CA,Male,Asian or Pacific Islander,Lung
10,2009,40.2,CA,Male,Asian or Pacific Islander,Lung
11,2010,40.7,CA,Male,Asian or Pacific Islander,Lung
12,2011,38.8,CA,Male,Asian or Pacific Islander,Lung
13,2012,42.1,CA,Male,Asian or Pacific Islander,Lung
14,2013,42.5,CA,Male,Asian or Pacific Islander,Lung
15,2014,40.0,CA,Male,Asian or Pacific Islander,Lung
16,2015,42.8,CA,Male,Asian or Pacific Islander,Lung
0,2016,42.119564217081404,CA,Male,Asian or Pacific Islander,Lung
1,2017,35.49237632869628,CA,Male,Asian or Pacific Islander,Lung
2,2018,41.12928993955913,CA,Male,Asian or Pacific Islander,Lung
3,2019,12.054852801607623,CA,Male,Asian or Pacific Islander,Lung
4,2020,32.24822816224821,CA,Male,Asian or Pacific Islander,Lung
5,2021,6.271538297155789,CA,Male,Asian or Pacific Islander,Lung
6,2022,12.505957515811428,CA,Male,Asian or Pacific Islander,Lung
7,2023,19.000415503064303,CA,Male,Asian or Pacific Islander,Lung
8,2024,0.0,CA,Male,Asian or Pacific Islander,Lung
9,2025,24.669729590716205,CA,Male,Asian or Pacific Islander,Lung
