,Year,Lung,State,Gender,Race,Cancer
0,1999,43.9,CA,Female,Black or African American,Lung
1,2000,40.9,CA,Female,Black or African American,Lung
2,2001,41.2,CA,Female,Black or African American,Lung
3,2002,39.5,CA,Female,Black or African American,Lung
4,2003,46.1,CA,Female,Black or African American,Lung
5,2004,47.4,CA,Female,Black or African American,Lung
6,2005,47.4,CA,Female,Black or African American,Lung
7,2006,46.3,CA,Female,Black or African American,Lung
8,2007,45.0,CA,Female,Black or African American,Lung
9,2008,42.0,CA,Female,Black or African American,Lung
10,2009,47.5,CA,Female,Black or African American,Lung
11,2010,48.0,CA,Female,Black or African American,Lung
12,2011,43.1,CA,Female,Black or African American,Lung
13,2012,43.1,CA,Female,Black or African American,Lung
14,2013,43.4,CA,Female,Black or African American,Lung
15,2014,47.1,CA,Female,Black or African American,Lung
16,2015,44.7,CA,Female,Black or African American,Lung
0,2016,44.9742262881254,CA,Female,Black or African American,Lung
1,2017,22.503324990711203,CA,Female,Black or African American,Lung
2,2018,33.229495790751066,CA,Female,Black or African American,Lung
3,2019,26.60319631707054,CA,Female,Black or African American,Lung
4,2020,19.170341552692268,CA,Female,Black or African American,Lung
5,2021,15.500118248917444,CA,Female,Black or African American,Lung
6,2022,10.363283230703512,CA,Female,Black or African American,Lung
7,2023,7.845017581929421,CA,Female,Black or African American,Lung
8,2024,8.64589599369226,CA,Female,Black or African American,Lung
9,2025,5.637748022633512,CA,Female,Black or African American,Lung
