,Year,Lung,State,Gender,Race,Cancer
0,1999,61.5,CA,Male,Black or African American,Lung
1,2000,62.4,CA,Male,Black or African American,Lung
2,2001,62.4,CA,Male,Black or African American,Lung
3,2002,61.5,CA,Male,Black or African American,Lung
4,2003,58.9,CA,Male,Black or African American,Lung
5,2004,56.1,CA,Male,Black or African American,Lung
6,2005,61.0,CA,Male,Black or African American,Lung
7,2006,59.4,CA,Male,Black or African American,Lung
8,2007,53.0,CA,Male,Black or African American,Lung
9,2008,53.6,CA,Male,Black or African American,Lung
10,2009,60.0,CA,Male,Black or African American,Lung
11,2010,52.7,CA,Male,Black or African American,Lung
12,2011,51.2,CA,Male,Black or African American,Lung
13,2012,52.0,CA,Male,Black or African American,Lung
14,2013,47.5,CA,Male,Black or African American,Lung
15,2014,48.4,CA,Male,Black or African American,Lung
16,2015,48.1,CA,Male,Black or African American,Lung
0,2016,45.525092902517336,CA,Male,Black or African American,Lung
1,2017,42.256303965786564,CA,Male,Black or African American,Lung
2,2018,60.70864420560098,CA,Male,Black or African American,Lung
3,2019,9.807745828281359,CA,Male,Black or African American,Lung
4,2020,37.383429166616104,CA,Male,Black or African American,Lung
5,2021,22.99244754427875,CA,Male,Black or African American,Lung
6,2022,0.0,CA,Male,Black or African American,Lung
7,2023,38.23378040039406,CA,Male,Black or African American,Lung
8,2024,0.0,CA,Male,Black or African American,Lung
9,2025,4.799830376121633,CA,Male,Black or African American,Lung
