,Year,Lung,State,Gender,Race,Cancer
0,1999,53.9,CA,Female,White,Lung
1,2000,52.5,CA,Female,White,Lung
2,2001,52.0,CA,Female,White,Lung
3,2002,53.2,CA,Female,White,Lung
4,2003,51.3,CA,Female,White,Lung
5,2004,51.6,CA,Female,White,Lung
6,2005,50.8,CA,Female,White,Lung
7,2006,51.4,CA,Female,White,Lung
8,2007,50.6,CA,Female,White,Lung
9,2008,49.6,CA,Female,White,Lung
10,2009,51.6,CA,Female,White,Lung
11,2010,48.8,CA,Female,White,Lung
12,2011,46.8,CA,Female,White,Lung
13,2012,47.0,CA,Female,White,Lung
14,2013,47.0,CA,Female,White,Lung
15,2014,47.0,CA,Female,White,Lung
16,2015,45.7,CA,Female,White,Lung
0,2016,44.83476098237721,CA,Female,White,Lung
1,2017,22.944283703767525,CA,Female,White,Lung
2,2018,37.71117919172551,CA,Female,White,Lung
3,2019,14.772766928352059,CA,Female,White,Lung
4,2020,9.931884192376575,CA,Female,White,Lung
5,2021,2.748852983433066,CA,Female,White,Lung
6,2022,4.445968222492818,CA,Female,White,Lung
7,2023,7.022689063326071,CA,Female,White,Lung
8,2024,0.0,CA,Female,White,Lung
9,2025,2.665180061620125,CA,Female,White,Lung
