,Year,Larynx,State,Gender,Race,Cancer
0,1999,1.3,CA,Female,White,Larynx
1,2000,1.2,CA,Female,White,Larynx
2,2001,1.2,CA,Female,White,Larynx
3,2002,1.1,CA,Female,White,Larynx
4,2003,1.0,CA,Female,White,Larynx
5,2004,1.1,CA,Female,White,Larynx
6,2005,1.0,CA,Female,White,Larynx
7,2006,1.0,CA,Female,White,Larynx
8,2007,1.0,CA,Female,White,Larynx
9,2008,1.1,CA,Female,White,Larynx
10,2009,0.9,CA,Female,White,Larynx
11,2010,0.9,CA,Female,White,Larynx
12,2011,0.8,CA,Female,White,Larynx
13,2012,0.8,CA,Female,White,Larynx
14,2013,0.9,CA,Female,White,Larynx
15,2014,0.7,CA,Female,White,Larynx
16,2015,0.8,CA,Female,White,Larynx
0,2016,0.6808823529411765,CA,Female,White,Larynx
1,2017,0.6643828982999862,CA,Female,White,Larynx
2,2018,0.37000911214898174,CA,Female,White,Larynx
3,2019,0.5273651408616917,CA,Female,White,Larynx
4,2020,0.16511134594425558,CA,Female,White,Larynx
5,2021,0.26651112430005064,CA,Female,White,Larynx
6,2022,0.0,CA,Female,White,Larynx
7,2023,0.16854926659855018,CA,Female,White,Larynx
8,2024,0.0,CA,Female,White,Larynx
9,2025,0.10515125596506025,CA,Female,White,Larynx
