,Year,Nasal,State,Gender,Race,Cancer
0,1999,0.6,CA,Male,White,Nasal
1,2000,0.8,CA,Male,White,Nasal
2,2001,0.7,CA,Male,White,Nasal
3,2002,0.8,CA,Male,White,Nasal
4,2003,0.7,CA,Male,White,Nasal
5,2004,0.7,CA,Male,White,Nasal
6,2005,0.7,CA,Male,White,Nasal
7,2006,0.8,CA,Male,White,Nasal
8,2007,0.9,CA,Male,White,Nasal
9,2008,0.7,CA,Male,White,Nasal
10,2009,0.7,CA,Male,White,Nasal
11,2010,0.7,CA,Male,White,Nasal
12,2011,0.8,CA,Male,White,Nasal
13,2012,0.8,CA,Male,White,Nasal
14,2013,1.0,CA,Male,White,Nasal
15,2014,0.8,CA,Male,White,Nasal
16,2015,0.8,CA,Male,White,Nasal
0,2016,0.7427668206954962,CA,Male,White,Nasal
1,2017,0.7636307987382202,CA,Male,White,Nasal
2,2018,0.8256159675047878,CA,Male,White,Nasal
3,2019,1.0494357832383714,CA,Male,White,Nasal
4,2020,0.6812981010758916,CA,Male,White,Nasal
5,2021,0.670538912248366,CA,Male,White,Nasal
6,2022,0.10028684533669152,CA,Male,White,Nasal
7,2023,0.7357274423302381,CA,Male,White,Nasal
8,2024,0.17732150763129484,CA,Male,White,Nasal
9,2025,0.8794484632450605,CA,Male,White,Nasal
