,Year,Trachea,State,Gender,Race,Cancer
0,1999,0.3,CA,Male,White,Trachea
1,2000,0.3,CA,Male,White,Trachea
2,2001,0.3,CA,Male,White,Trachea
3,2002,0.2,CA,Male,White,Trachea
4,2003,0.3,CA,Male,White,Trachea
5,2004,0.3,CA,Male,White,Trachea
6,2005,0.3,CA,Male,White,Trachea
7,2006,0.2,CA,Male,White,Trachea
8,2007,0.3,CA,Male,White,Trachea
9,2008,0.2,CA,Male,White,Trachea
10,2009,0.2,CA,Male,White,Trachea
11,2010,0.3,CA,Male,White,Trachea
12,2011,0.4,CA,Male,White,Trachea
13,2012,0.3,CA,Male,White,Trachea
14,2013,0.3,CA,Male,White,Trachea
15,2014,0.3,CA,Male,White,Trachea
16,2015,0.3,CA,Male,White,Trachea
0,2016,0.24389576734811394,CA,Male,White,Trachea
1,2017,0.11780171607238041,CA,Male,White,Trachea
2,2018,0.3296003414627091,CA,Male,White,Trachea
3,2019,0.2206176440617138,CA,Male,White,Trachea
4,2020,0.03624135974478806,CA,Male,White,Trachea
5,2021,0.3058368186187154,CA,Male,White,Trachea
6,2022,0.1763320169077612,CA,Male,White,Trachea
7,2023,0.0,CA,Male,White,Trachea
8,2024,0.14339493422046873,CA,Male,White,Trachea
9,2025,0.304196575928421,CA,Male,White,Trachea
