,Year,Lung,State,Gender,Race,Cancer
0,1999,39.0,CO,Female,White,Lung
1,2000,40.9,CO,Female,White,Lung
2,2001,44.2,CO,Female,White,Lung
3,2002,44.7,CO,Female,White,Lung
4,2003,45.2,CO,Female,White,Lung
5,2004,46.1,CO,Female,White,Lung
6,2005,45.5,CO,Female,White,Lung
7,2006,44.0,CO,Female,White,Lung
8,2007,47.8,CO,Female,White,Lung
9,2008,48.5,CO,Female,White,Lung
10,2009,47.0,CO,Female,White,Lung
11,2010,46.0,CO,Female,White,Lung
12,2011,45.7,CO,Female,White,Lung
13,2012,48.3,CO,Female,White,Lung
14,2013,47.0,CO,Female,White,Lung
15,2014,46.2,CO,Female,White,Lung
16,2015,45.0,CO,Female,White,Lung
0,2016,46.95960909109559,CO,Female,White,Lung
1,2017,28.36355925456962,CO,Female,White,Lung
2,2018,44.19204591008399,CO,Female,White,Lung
3,2019,31.213203990959997,CO,Female,White,Lung
4,2020,12.686281771262733,CO,Female,White,Lung
5,2021,7.02248326340904,CO,Female,White,Lung
6,2022,20.29198163734072,CO,Female,White,Lung
7,2023,11.86206489776464,CO,Female,White,Lung
8,2024,0.0,CO,Female,White,Lung
9,2025,3.6879135915792007,CO,Female,White,Lung
