,Year,Larynx,State,Gender,Race,Cancer
0,1999,3.0,CT,Female,White,Larynx
1,2000,1.8,CT,Female,White,Larynx
2,2001,1.9,CT,Female,White,Larynx
3,2002,1.7,CT,Female,White,Larynx
4,2003,1.7,CT,Female,White,Larynx
5,2004,1.7,CT,Female,White,Larynx
6,2005,1.2,CT,Female,White,Larynx
7,2006,2.2,CT,Female,White,Larynx
8,2007,1.8,CT,Female,White,Larynx
9,2008,1.8,CT,Female,White,Larynx
10,2009,1.4,CT,Female,White,Larynx
11,2010,1.8,CT,Female,White,Larynx
12,2011,1.9,CT,Female,White,Larynx
13,2012,1.8,CT,Female,White,Larynx
14,2013,1.6,CT,Female,White,Larynx
15,2014,1.8,CT,Female,White,Larynx
16,2015,1.8,CT,Female,White,Larynx
0,2016,1.8762205516762136,CT,Female,White,Larynx
1,2017,1.7742271156931282,CT,Female,White,Larynx
2,2018,1.3100515067175313,CT,Female,White,Larynx
3,2019,1.9058426040547283,CT,Female,White,Larynx
4,2020,0.20282874545972351,CT,Female,White,Larynx
5,2021,1.2160395588341197,CT,Female,White,Larynx
6,2022,0.0,CT,Female,White,Larynx
7,2023,1.6429105978089078,CT,Female,White,Larynx
8,2024,0.0,CT,Female,White,Larynx
9,2025,1.806235170018386,CT,Female,White,Larynx
