,Year,Lung,State,Gender,Race,Cancer
0,1999,87.8,CT,Male,White,Lung
1,2000,84.0,CT,Male,White,Lung
2,2001,88.8,CT,Male,White,Lung
3,2002,86.9,CT,Male,White,Lung
4,2003,87.6,CT,Male,White,Lung
5,2004,85.2,CT,Male,White,Lung
6,2005,82.9,CT,Male,White,Lung
7,2006,83.5,CT,Male,White,Lung
8,2007,82.7,CT,Male,White,Lung
9,2008,87.0,CT,Male,White,Lung
10,2009,80.6,CT,Male,White,Lung
11,2010,81.3,CT,Male,White,Lung
12,2011,85.0,CT,Male,White,Lung
13,2012,79.8,CT,Male,White,Lung
14,2013,82.6,CT,Male,White,Lung
15,2014,82.7,CT,Male,White,Lung
16,2015,77.1,CT,Male,White,Lung
0,2016,82.25735417620743,CT,Male,White,Lung
1,2017,96.90103808878293,CT,Male,White,Lung
2,2018,78.32260436857612,CT,Male,White,Lung
3,2019,63.29807708705011,CT,Male,White,Lung
4,2020,94.42400581660213,CT,Male,White,Lung
5,2021,5.355156808277787,CT,Male,White,Lung
6,2022,86.65527598395633,CT,Male,White,Lung
7,2023,4.21322467120531,CT,Male,White,Lung
8,2024,40.15162278667039,CT,Male,White,Lung
9,2025,58.34384589112476,CT,Male,White,Lung
