,Year,Larynx,State,Gender,Race,Cancer
0,1999,8.7,CT,Male,White,Larynx
1,2000,8.0,CT,Male,White,Larynx
2,2001,7.6,CT,Male,White,Larynx
3,2002,7.5,CT,Male,White,Larynx
4,2003,7.7,CT,Male,White,Larynx
5,2004,6.8,CT,Male,White,Larynx
6,2005,6.6,CT,Male,White,Larynx
7,2006,7.2,CT,Male,White,Larynx
8,2007,7.0,CT,Male,White,Larynx
9,2008,6.4,CT,Male,White,Larynx
10,2009,7.0,CT,Male,White,Larynx
11,2010,7.6,CT,Male,White,Larynx
12,2011,8.2,CT,Male,White,Larynx
13,2012,7.1,CT,Male,White,Larynx
14,2013,7.2,CT,Male,White,Larynx
15,2014,8.3,CT,Male,White,Larynx
16,2015,6.6,CT,Male,White,Larynx
0,2016,6.937776386657921,CT,Male,White,Larynx
1,2017,4.941299234559382,CT,Male,White,Larynx
2,2018,6.778130177541518,CT,Male,White,Larynx
3,2019,0.0,CT,Male,White,Larynx
4,2020,1.962467258901393,CT,Male,White,Larynx
5,2021,1.8989989175436977,CT,Male,White,Larynx
6,2022,0.0,CT,Male,White,Larynx
7,2023,4.866521643682428,CT,Male,White,Larynx
8,2024,0.0,CT,Male,White,Larynx
9,2025,0.0,CT,Male,White,Larynx
