,Year,Larynx,State,Gender,Race,Cancer
0,1999,10.2,DE,Male,White,Larynx
1,2000,7.4,DE,Male,White,Larynx
2,2001,7.0,DE,Male,White,Larynx
3,2002,10.6,DE,Male,White,Larynx
4,2003,9.2,DE,Male,White,Larynx
5,2004,8.8,DE,Male,White,Larynx
6,2005,8.4,DE,Male,White,Larynx
7,2006,8.3,DE,Male,White,Larynx
8,2007,7.6,DE,Male,White,Larynx
9,2008,5.0,DE,Male,White,Larynx
10,2009,6.6,DE,Male,White,Larynx
11,2010,9.7,DE,Male,White,Larynx
12,2011,9.3,DE,Male,White,Larynx
13,2012,8.0,DE,Male,White,Larynx
14,2013,9.5,DE,Male,White,Larynx
15,2014,7.0,DE,Male,White,Larynx
16,2015,7.0,DE,Male,White,Larynx
0,2016,8.274792321790814,DE,Male,White,Larynx
1,2017,3.2233032731683915,DE,Male,White,Larynx
2,2018,5.164814103507243,DE,Male,White,Larynx
3,2019,4.508965789857172,DE,Male,White,Larynx
4,2020,2.2818121002143097,DE,Male,White,Larynx
5,2021,2.8942841189407753,DE,Male,White,Larynx
6,2022,1.627428705545272,DE,Male,White,Larynx
7,2023,0.0,DE,Male,White,Larynx
8,2024,1.3992363406122148,DE,Male,White,Larynx
9,2025,0.9254958408177875,DE,Male,White,Larynx
