,Year,Lung,State,Gender,Race,Cancer
0,1999,27.2,FL,Female,Black or African American,Lung
1,2000,28.2,FL,Female,Black or African American,Lung
2,2001,31.6,FL,Female,Black or African American,Lung
3,2002,28.5,FL,Female,Black or African American,Lung
4,2003,30.0,FL,Female,Black or African American,Lung
5,2004,30.6,FL,Female,Black or African American,Lung
6,2005,30.7,FL,Female,Black or African American,Lung
7,2006,27.3,FL,Female,Black or African American,Lung
8,2007,30.3,FL,Female,Black or African American,Lung
9,2008,27.6,FL,Female,Black or African American,Lung
10,2009,30.8,FL,Female,Black or African American,Lung
11,2010,29.8,FL,Female,Black or African American,Lung
12,2011,33.0,FL,Female,Black or African American,Lung
13,2012,31.9,FL,Female,Black or African American,Lung
14,2013,31.5,FL,Female,Black or African American,Lung
15,2014,30.2,FL,Female,Black or African American,Lung
16,2015,31.0,FL,Female,Black or African American,Lung
0,2016,30.005599637753527,FL,Female,Black or African American,Lung
1,2017,14.212696652446695,FL,Female,Black or African American,Lung
2,2018,11.42990638645455,FL,Female,Black or African American,Lung
3,2019,17.117553152536665,FL,Female,Black or African American,Lung
4,2020,15.447893497214935,FL,Female,Black or African American,Lung
5,2021,23.020179621840143,FL,Female,Black or African American,Lung
6,2022,4.092827478533778,FL,Female,Black or African American,Lung
7,2023,8.434329377439234,FL,Female,Black or African American,Lung
8,2024,0.0,FL,Female,Black or African American,Lung
9,2025,12.410519030498484,FL,Female,Black or African American,Lung
