,Year,Lung,State,Gender,Race,Cancer
0,1999,62.6,FL,Male,Black or African American,Lung
1,2000,57.2,FL,Male,Black or African American,Lung
2,2001,54.9,FL,Male,Black or African American,Lung
3,2002,56.6,FL,Male,Black or African American,Lung
4,2003,60.8,FL,Male,Black or African American,Lung
5,2004,57.1,FL,Male,Black or African American,Lung
6,2005,50.6,FL,Male,Black or African American,Lung
7,2006,56.5,FL,Male,Black or African American,Lung
8,2007,54.8,FL,Male,Black or African American,Lung
9,2008,54.8,FL,Male,Black or African American,Lung
10,2009,47.4,FL,Male,Black or African American,Lung
11,2010,50.4,FL,Male,Black or African American,Lung
12,2011,51.0,FL,Male,Black or African American,Lung
13,2012,50.0,FL,Male,Black or African American,Lung
14,2013,44.4,FL,Male,Black or African American,Lung
15,2014,43.6,FL,Male,Black or African American,Lung
16,2015,42.3,FL,Male,Black or African American,Lung
0,2016,42.385668742395545,FL,Male,Black or African American,Lung
1,2017,30.15701238920333,FL,Male,Black or African American,Lung
2,2018,9.766598941197365,FL,Male,Black or African American,Lung
3,2019,18.750245945191146,FL,Male,Black or African American,Lung
4,2020,0.0,FL,Male,Black or African American,Lung
5,2021,3.5096845476209637,FL,Male,Black or African American,Lung
6,2022,0.0,FL,Male,Black or African American,Lung
7,2023,22.368949170439564,FL,Male,Black or African American,Lung
8,2024,0.0,FL,Male,Black or African American,Lung
9,2025,48.94609252510108,FL,Male,Black or African American,Lung
