,Year,Nasal,State,Gender,Race,Cancer
0,1999,0.9,FL,Female,White,Nasal
1,2000,0.7,FL,Female,White,Nasal
2,2001,1.0,FL,Female,White,Nasal
3,2002,0.9,FL,Female,White,Nasal
4,2003,0.7,FL,Female,White,Nasal
5,2004,1.0,FL,Female,White,Nasal
6,2005,0.7,FL,Female,White,Nasal
7,2006,0.8,FL,Female,White,Nasal
8,2007,0.9,FL,Female,White,Nasal
9,2008,1.0,FL,Female,White,Nasal
10,2009,0.7,FL,Female,White,Nasal
11,2010,0.7,FL,Female,White,Nasal
12,2011,0.7,FL,Female,White,Nasal
13,2012,0.7,FL,Female,White,Nasal
14,2013,0.7,FL,Female,White,Nasal
15,2014,0.6,FL,Female,White,Nasal
16,2015,0.6,FL,Female,White,Nasal
0,2016,0.5924118347459056,FL,Female,White,Nasal
1,2017,0.4865335850127417,FL,Female,White,Nasal
2,2018,0.49122094184659154,FL,Female,White,Nasal
3,2019,0.42328455153944355,FL,Female,White,Nasal
4,2020,0.2530187682362797,FL,Female,White,Nasal
5,2021,0.21968368280860862,FL,Female,White,Nasal
6,2022,0.06411834429291519,FL,Female,White,Nasal
7,2023,0.14251456994589645,FL,Female,White,Nasal
8,2024,0.0014679291725565036,FL,Female,White,Nasal
9,2025,0.065035818897756,FL,Female,White,Nasal
