,Year,Larynx,State,Gender,Race,Cancer
0,1999,3.2,FL,Female,White,Larynx
1,2000,3.0,FL,Female,White,Larynx
2,2001,2.9,FL,Female,White,Larynx
3,2002,2.4,FL,Female,White,Larynx
4,2003,2.4,FL,Female,White,Larynx
5,2004,2.5,FL,Female,White,Larynx
6,2005,2.4,FL,Female,White,Larynx
7,2006,2.5,FL,Female,White,Larynx
8,2007,2.2,FL,Female,White,Larynx
9,2008,2.3,FL,Female,White,Larynx
10,2009,2.1,FL,Female,White,Larynx
11,2010,2.2,FL,Female,White,Larynx
12,2011,2.3,FL,Female,White,Larynx
13,2012,2.4,FL,Female,White,Larynx
14,2013,2.0,FL,Female,White,Larynx
15,2014,2.3,FL,Female,White,Larynx
16,2015,1.8,FL,Female,White,Larynx
0,2016,2.206946351584471,FL,Female,White,Larynx
1,2017,1.9008315497739146,FL,Female,White,Larynx
2,2018,0.6727012117838083,FL,Female,White,Larynx
3,2019,1.816638929506444,FL,Female,White,Larynx
4,2020,0.0,FL,Female,White,Larynx
5,2021,2.6958504947874675,FL,Female,White,Larynx
6,2022,0.0,FL,Female,White,Larynx
7,2023,5.614251031200668,FL,Female,White,Larynx
8,2024,0.0,FL,Female,White,Larynx
9,2025,13.998349967993825,FL,Female,White,Larynx
