,Year,Nasal,State,Gender,Race,Cancer
0,1999,1.4,FL,Male,White,Nasal
1,2000,1.3,FL,Male,White,Nasal
2,2001,1.2,FL,Male,White,Nasal
3,2002,1.2,FL,Male,White,Nasal
4,2003,1.3,FL,Male,White,Nasal
5,2004,1.2,FL,Male,White,Nasal
6,2005,1.2,FL,Male,White,Nasal
7,2006,1.2,FL,Male,White,Nasal
8,2007,1.3,FL,Male,White,Nasal
9,2008,1.4,FL,Male,White,Nasal
10,2009,1.5,FL,Male,White,Nasal
11,2010,1.4,FL,Male,White,Nasal
12,2011,1.2,FL,Male,White,Nasal
13,2012,1.2,FL,Male,White,Nasal
14,2013,1.3,FL,Male,White,Nasal
15,2014,1.3,FL,Male,White,Nasal
16,2015,1.1,FL,Male,White,Nasal
0,2016,1.0235675622958011,FL,Male,White,Nasal
1,2017,0.0,FL,Male,White,Nasal
2,2018,0.23468841451579925,FL,Male,White,Nasal
3,2019,1.3470246942712674,FL,Male,White,Nasal
4,2020,0.2470397735700286,FL,Male,White,Nasal
5,2021,0.0,FL,Male,White,Nasal
6,2022,0.0,FL,Male,White,Nasal
7,2023,1.902156054315186,FL,Male,White,Nasal
8,2024,0.11551743594869279,FL,Male,White,Nasal
9,2025,0.0,FL,Male,White,Nasal
