,Year,Trachea,State,Gender,Race,Cancer
0,1999,0.6,FL,Male,White,Trachea
1,2000,0.4,FL,Male,White,Trachea
2,2001,0.4,FL,Male,White,Trachea
3,2002,0.4,FL,Male,White,Trachea
4,2003,0.4,FL,Male,White,Trachea
5,2004,0.2,FL,Male,White,Trachea
6,2005,0.3,FL,Male,White,Trachea
7,2006,0.3,FL,Male,White,Trachea
8,2007,0.3,FL,Male,White,Trachea
9,2008,0.4,FL,Male,White,Trachea
10,2009,0.4,FL,Male,White,Trachea
11,2010,0.3,FL,Male,White,Trachea
12,2011,0.3,FL,Male,White,Trachea
13,2012,0.5,FL,Male,White,Trachea
14,2013,0.4,FL,Male,White,Trachea
15,2014,0.3,FL,Male,White,Trachea
16,2015,0.3,FL,Male,White,Trachea
0,2016,0.3668347211494719,FL,Male,White,Trachea
1,2017,0.1738360061201742,FL,Male,White,Trachea
2,2018,0.2699962700010037,FL,Male,White,Trachea
3,2019,0.20504260664758334,FL,Male,White,Trachea
4,2020,0.07890511873488318,FL,Male,White,Trachea
5,2021,0.13360191841786848,FL,Male,White,Trachea
6,2022,0.10005922556217713,FL,Male,White,Trachea
7,2023,0.015051052382644436,FL,Male,White,Trachea
8,2024,0.07208846598947052,FL,Male,White,Trachea
9,2025,0.05846244055435242,FL,Male,White,Trachea
