,Year,Lung,State,Gender,Race,Cancer
0,1999,26.6,GA,Female,Black or African American,Lung
1,2000,28.4,GA,Female,Black or African American,Lung
2,2001,27.7,GA,Female,Black or African American,Lung
3,2002,29.0,GA,Female,Black or African American,Lung
4,2003,31.1,GA,Female,Black or African American,Lung
5,2004,29.4,GA,Female,Black or African American,Lung
6,2005,31.8,GA,Female,Black or African American,Lung
7,2006,30.6,GA,Female,Black or African American,Lung
8,2007,33.0,GA,Female,Black or African American,Lung
9,2008,32.6,GA,Female,Black or African American,Lung
10,2009,33.1,GA,Female,Black or African American,Lung
11,2010,34.3,GA,Female,Black or African American,Lung
12,2011,32.2,GA,Female,Black or African American,Lung
13,2012,37.6,GA,Female,Black or African American,Lung
14,2013,34.0,GA,Female,Black or African American,Lung
15,2014,34.6,GA,Female,Black or African American,Lung
16,2015,34.6,GA,Female,Black or African American,Lung
0,2016,36.89770218598785,GA,Female,Black or African American,Lung
1,2017,43.03776324618482,GA,Female,Black or African American,Lung
2,2018,30.84283176226114,GA,Female,Black or African American,Lung
3,2019,34.735118622610116,GA,Female,Black or African American,Lung
4,2020,5.155799628545118,GA,Female,Black or African American,Lung
5,2021,13.606028139803385,GA,Female,Black or African American,Lung
6,2022,26.027401751586275,GA,Female,Black or African American,Lung
7,2023,0.0,GA,Female,Black or African American,Lung
8,2024,18.316561503048995,GA,Female,Black or African American,Lung
9,2025,0.0,GA,Female,Black or African American,Lung
