,Year,Lung,State,Gender,Race,Cancer
0,1999,57.4,GA,Male,Black or African American,Lung
1,2000,57.0,GA,Male,Black or African American,Lung
2,2001,62.1,GA,Male,Black or African American,Lung
3,2002,57.0,GA,Male,Black or African American,Lung
4,2003,58.0,GA,Male,Black or African American,Lung
5,2004,57.2,GA,Male,Black or African American,Lung
6,2005,53.7,GA,Male,Black or African American,Lung
7,2006,53.7,GA,Male,Black or African American,Lung
8,2007,55.9,GA,Male,Black or African American,Lung
9,2008,56.8,GA,Male,Black or African American,Lung
10,2009,54.0,GA,Male,Black or African American,Lung
11,2010,53.5,GA,Male,Black or African American,Lung
12,2011,54.6,GA,Male,Black or African American,Lung
13,2012,56.9,GA,Male,Black or African American,Lung
14,2013,51.8,GA,Male,Black or African American,Lung
15,2014,59.7,GA,Male,Black or African American,Lung
16,2015,55.0,GA,Male,Black or African American,Lung
0,2016,54.54303108570279,GA,Male,Black or African American,Lung
1,2017,48.22001849942385,GA,Male,Black or African American,Lung
2,2018,38.65371054685552,GA,Male,Black or African American,Lung
3,2019,25.134534809764478,GA,Male,Black or African American,Lung
4,2020,26.89178804301801,GA,Male,Black or African American,Lung
5,2021,27.114483669660103,GA,Male,Black or African American,Lung
6,2022,4.655723086328795,GA,Male,Black or African American,Lung
7,2023,23.03827966363338,GA,Male,Black or African American,Lung
8,2024,0.0,GA,Male,Black or African American,Lung
9,2025,14.025355985662571,GA,Male,Black or African American,Lung
