,Year,Larynx,State,Gender,Race,Cancer
0,1999,7.1,GA,Male,Black or African American,Larynx
1,2000,7.9,GA,Male,Black or African American,Larynx
2,2001,7.7,GA,Male,Black or African American,Larynx
3,2002,6.1,GA,Male,Black or African American,Larynx
4,2003,7.6,GA,Male,Black or African American,Larynx
5,2004,6.9,GA,Male,Black or African American,Larynx
6,2005,6.6,GA,Male,Black or African American,Larynx
7,2006,8.9,GA,Male,Black or African American,Larynx
8,2007,6.0,GA,Male,Black or African American,Larynx
9,2008,6.6,GA,Male,Black or African American,Larynx
10,2009,6.7,GA,Male,Black or African American,Larynx
11,2010,5.7,GA,Male,Black or African American,Larynx
12,2011,6.2,GA,Male,Black or African American,Larynx
13,2012,6.8,GA,Male,Black or African American,Larynx
14,2013,7.4,GA,Male,Black or African American,Larynx
15,2014,7.2,GA,Male,Black or African American,Larynx
16,2015,6.0,GA,Male,Black or African American,Larynx
0,2016,5.569127187670096,GA,Male,Black or African American,Larynx
1,2017,3.856177049341888,GA,Male,Black or African American,Larynx
2,2018,4.6427732479866135,GA,Male,Black or African American,Larynx
3,2019,4.95884936426353,GA,Male,Black or African American,Larynx
4,2020,7.400026744600375,GA,Male,Black or African American,Larynx
5,2021,2.3618252539740485,GA,Male,Black or African American,Larynx
6,2022,1.6669305001021426,GA,Male,Black or African American,Larynx
7,2023,0.7093017979173906,GA,Male,Black or African American,Larynx
8,2024,0.7730449098487691,GA,Male,Black or African American,Larynx
9,2025,3.7280687046184378,GA,Male,Black or African American,Larynx
