,Year,Lung,State,Gender,Race,Cancer
0,1999,56.9,GA,Female,White,Lung
1,2000,59.8,GA,Female,White,Lung
2,2001,61.5,GA,Female,White,Lung
3,2002,62.7,GA,Female,White,Lung
4,2003,62.3,GA,Female,White,Lung
5,2004,62.0,GA,Female,White,Lung
6,2005,64.7,GA,Female,White,Lung
7,2006,66.4,GA,Female,White,Lung
8,2007,70.3,GA,Female,White,Lung
9,2008,71.6,GA,Female,White,Lung
10,2009,70.2,GA,Female,White,Lung
11,2010,66.6,GA,Female,White,Lung
12,2011,70.1,GA,Female,White,Lung
13,2012,71.9,GA,Female,White,Lung
14,2013,70.4,GA,Female,White,Lung
15,2014,71.2,GA,Female,White,Lung
16,2015,70.3,GA,Female,White,Lung
0,2016,71.6662439977546,GA,Female,White,Lung
1,2017,9.714498765103361,GA,Female,White,Lung
2,2018,37.2449006376611,GA,Female,White,Lung
3,2019,39.26956444550627,GA,Female,White,Lung
4,2020,19.159552538215415,GA,Female,White,Lung
5,2021,6.634490821390571,GA,Female,White,Lung
6,2022,0.46782888855220284,GA,Female,White,Lung
7,2023,14.29781850894498,GA,Female,White,Lung
8,2024,11.277033337570915,GA,Female,White,Lung
9,2025,0.0,GA,Female,White,Lung
