,Year,Lung,State,Gender,Race,Cancer
0,1999,86.6,GA,Male,White,Lung
1,2000,91.4,GA,Male,White,Lung
2,2001,88.7,GA,Male,White,Lung
3,2002,91.4,GA,Male,White,Lung
4,2003,89.2,GA,Male,White,Lung
5,2004,86.5,GA,Male,White,Lung
6,2005,86.8,GA,Male,White,Lung
7,2006,88.5,GA,Male,White,Lung
8,2007,88.0,GA,Male,White,Lung
9,2008,86.8,GA,Male,White,Lung
10,2009,89.7,GA,Male,White,Lung
11,2010,83.4,GA,Male,White,Lung
12,2011,86.1,GA,Male,White,Lung
13,2012,90.4,GA,Male,White,Lung
14,2013,90.0,GA,Male,White,Lung
15,2014,89.0,GA,Male,White,Lung
16,2015,85.2,GA,Male,White,Lung
0,2016,82.55197645216593,GA,Male,White,Lung
1,2017,65.2182666720361,GA,Male,White,Lung
2,2018,103.24567418274697,GA,Male,White,Lung
3,2019,81.15954941166743,GA,Male,White,Lung
4,2020,94.35188682376676,GA,Male,White,Lung
5,2021,44.095889351501384,GA,Male,White,Lung
6,2022,15.153652245428034,GA,Male,White,Lung
7,2023,56.78203547709488,GA,Male,White,Lung
8,2024,42.550614927111255,GA,Male,White,Lung
9,2025,42.3870580969396,GA,Male,White,Lung
