,Year,Nasal,State,Gender,Race,Cancer
0,1999,0.9,GA,Male,White,Nasal
1,2000,1.1,GA,Male,White,Nasal
2,2001,0.9,GA,Male,White,Nasal
3,2002,1.0,GA,Male,White,Nasal
4,2003,1.1,GA,Male,White,Nasal
5,2004,0.7,GA,Male,White,Nasal
6,2005,0.9,GA,Male,White,Nasal
7,2006,0.9,GA,Male,White,Nasal
8,2007,0.9,GA,Male,White,Nasal
9,2008,1.2,GA,Male,White,Nasal
10,2009,1.1,GA,Male,White,Nasal
11,2010,1.1,GA,Male,White,Nasal
12,2011,1.1,GA,Male,White,Nasal
13,2012,1.6,GA,Male,White,Nasal
14,2013,1.3,GA,Male,White,Nasal
15,2014,1.3,GA,Male,White,Nasal
16,2015,0.9,GA,Male,White,Nasal
0,2016,1.3314504610021598,GA,Male,White,Nasal
1,2017,0.9938907843040192,GA,Male,White,Nasal
2,2018,1.1075867714304033,GA,Male,White,Nasal
3,2019,1.0361927294120057,GA,Male,White,Nasal
4,2020,0.7097624315687936,GA,Male,White,Nasal
5,2021,0.5529304601325892,GA,Male,White,Nasal
6,2022,0.49304999237114816,GA,Male,White,Nasal
7,2023,0.5257611601496468,GA,Male,White,Nasal
8,2024,0.3961899760509967,GA,Male,White,Nasal
9,2025,0.3821314224981296,GA,Male,White,Nasal
