,Year,Lung,State,Gender,Race,Cancer
0,1999,67.2,HI,Male,Asian or Pacific Islander,Lung
1,2000,60.5,HI,Male,Asian or Pacific Islander,Lung
2,2001,58.2,HI,Male,Asian or Pacific Islander,Lung
3,2002,67.6,HI,Male,Asian or Pacific Islander,Lung
4,2003,67.1,HI,Male,Asian or Pacific Islander,Lung
5,2004,69.8,HI,Male,Asian or Pacific Islander,Lung
6,2005,67.5,HI,Male,Asian or Pacific Islander,Lung
7,2006,67.0,HI,Male,Asian or Pacific Islander,Lung
8,2007,72.2,HI,Male,Asian or Pacific Islander,Lung
9,2008,74.8,HI,Male,Asian or Pacific Islander,Lung
10,2009,66.5,HI,Male,Asian or Pacific Islander,Lung
11,2010,56.3,HI,Male,Asian or Pacific Islander,Lung
12,2011,60.7,HI,Male,Asian or Pacific Islander,Lung
13,2012,62.7,HI,Male,Asian or Pacific Islander,Lung
14,2013,72.1,HI,Male,Asian or Pacific Islander,Lung
15,2014,61.4,HI,Male,Asian or Pacific Islander,Lung
16,2015,64.8,HI,Male,Asian or Pacific Islander,Lung
0,2016,59.804335168526706,HI,Male,Asian or Pacific Islander,Lung
1,2017,24.824997437201212,HI,Male,Asian or Pacific Islander,Lung
2,2018,27.676850811014052,HI,Male,Asian or Pacific Islander,Lung
3,2019,46.00508713473668,HI,Male,Asian or Pacific Islander,Lung
4,2020,10.170189172816364,HI,Male,Asian or Pacific Islander,Lung
5,2021,0.0,HI,Male,Asian or Pacific Islander,Lung
6,2022,0.0,HI,Male,Asian or Pacific Islander,Lung
7,2023,26.917791457545036,HI,Male,Asian or Pacific Islander,Lung
8,2024,0.0,HI,Male,Asian or Pacific Islander,Lung
9,2025,2.374938295406963,HI,Male,Asian or Pacific Islander,Lung
