,Year,Lung,State,Gender,Race,Cancer
0,1999,61.5,IA,Female,White,Lung
1,2000,62.0,IA,Female,White,Lung
2,2001,63.2,IA,Female,White,Lung
3,2002,66.9,IA,Female,White,Lung
4,2003,66.5,IA,Female,White,Lung
5,2004,65.8,IA,Female,White,Lung
6,2005,73.4,IA,Female,White,Lung
7,2006,69.3,IA,Female,White,Lung
8,2007,75.3,IA,Female,White,Lung
9,2008,74.7,IA,Female,White,Lung
10,2009,74.4,IA,Female,White,Lung
11,2010,70.8,IA,Female,White,Lung
12,2011,68.8,IA,Female,White,Lung
13,2012,71.1,IA,Female,White,Lung
14,2013,73.7,IA,Female,White,Lung
15,2014,77.9,IA,Female,White,Lung
16,2015,74.9,IA,Female,White,Lung
0,2016,76.9476443679429,IA,Female,White,Lung
1,2017,37.259575642291125,IA,Female,White,Lung
2,2018,18.435960545843564,IA,Female,White,Lung
3,2019,29.763027657434797,IA,Female,White,Lung
4,2020,40.108509801305914,IA,Female,White,Lung
5,2021,30.458291173392368,IA,Female,White,Lung
6,2022,19.149909954186278,IA,Female,White,Lung
7,2023,4.266696193613406,IA,Female,White,Lung
8,2024,7.381723074418328,IA,Female,White,Lung
9,2025,7.603161831436534,IA,Female,White,Lung
