,Year,Larynx,State,Gender,Race,Cancer
0,1999,2.2,IA,Female,White,Larynx
1,2000,1.8,IA,Female,White,Larynx
2,2001,1.4,IA,Female,White,Larynx
3,2002,2.3,IA,Female,White,Larynx
4,2003,1.8,IA,Female,White,Larynx
5,2004,1.5,IA,Female,White,Larynx
6,2005,2.1,IA,Female,White,Larynx
7,2006,1.8,IA,Female,White,Larynx
8,2007,1.7,IA,Female,White,Larynx
9,2008,2.1,IA,Female,White,Larynx
10,2009,1.7,IA,Female,White,Larynx
11,2010,2.0,IA,Female,White,Larynx
12,2011,1.4,IA,Female,White,Larynx
13,2012,2.1,IA,Female,White,Larynx
14,2013,2.0,IA,Female,White,Larynx
15,2014,2.1,IA,Female,White,Larynx
16,2015,2.2,IA,Female,White,Larynx
0,2016,2.064904164418572,IA,Female,White,Larynx
1,2017,2.2807117537420782,IA,Female,White,Larynx
2,2018,1.1573722312215724,IA,Female,White,Larynx
3,2019,1.9347787823691898,IA,Female,White,Larynx
4,2020,0.47312273886375067,IA,Female,White,Larynx
5,2021,1.8974823368791531,IA,Female,White,Larynx
6,2022,0.0,IA,Female,White,Larynx
7,2023,2.290857573506967,IA,Female,White,Larynx
8,2024,0.0,IA,Female,White,Larynx
9,2025,3.2491192400635995,IA,Female,White,Larynx
