,Year,Lung,State,Gender,Race,Cancer
0,1999,93.6,IA,Male,White,Lung
1,2000,94.2,IA,Male,White,Lung
2,2001,89.8,IA,Male,White,Lung
3,2002,90.0,IA,Male,White,Lung
4,2003,98.1,IA,Male,White,Lung
5,2004,93.6,IA,Male,White,Lung
6,2005,94.6,IA,Male,White,Lung
7,2006,96.0,IA,Male,White,Lung
8,2007,90.9,IA,Male,White,Lung
9,2008,92.0,IA,Male,White,Lung
10,2009,94.4,IA,Male,White,Lung
11,2010,93.4,IA,Male,White,Lung
12,2011,91.7,IA,Male,White,Lung
13,2012,89.9,IA,Male,White,Lung
14,2013,90.3,IA,Male,White,Lung
15,2014,89.9,IA,Male,White,Lung
16,2015,91.5,IA,Male,White,Lung
0,2016,91.63850160146045,IA,Male,White,Lung
1,2017,31.046580031765487,IA,Male,White,Lung
2,2018,57.88887335799475,IA,Male,White,Lung
3,2019,29.78237830500285,IA,Male,White,Lung
4,2020,48.373593399434064,IA,Male,White,Lung
5,2021,44.294070842083876,IA,Male,White,Lung
6,2022,0.0,IA,Male,White,Lung
7,2023,21.797252167176694,IA,Male,White,Lung
8,2024,7.75344983462691,IA,Male,White,Lung
9,2025,0.0,IA,Male,White,Lung
