,Year,Lung,State,Gender,Race,Cancer
0,1999,58.5,ID,Male,White,Lung
1,2000,69.4,ID,Male,White,Lung
2,2001,54.6,ID,Male,White,Lung
3,2002,58.8,ID,Male,White,Lung
4,2003,63.4,ID,Male,White,Lung
5,2004,62.5,ID,Male,White,Lung
6,2005,63.4,ID,Male,White,Lung
7,2006,57.6,ID,Male,White,Lung
8,2007,60.0,ID,Male,White,Lung
9,2008,60.4,ID,Male,White,Lung
10,2009,58.7,ID,Male,White,Lung
11,2010,55.5,ID,Male,White,Lung
12,2011,56.6,ID,Male,White,Lung
13,2012,56.8,ID,Male,White,Lung
14,2013,54.9,ID,Male,White,Lung
15,2014,63.4,ID,Male,White,Lung
16,2015,61.7,ID,Male,White,Lung
0,2016,59.41839224012325,ID,Male,White,Lung
1,2017,24.72754052114547,ID,Male,White,Lung
2,2018,36.48463828515896,ID,Male,White,Lung
3,2019,16.953248575426457,ID,Male,White,Lung
4,2020,18.29752671223246,ID,Male,White,Lung
5,2021,0.3226570638849857,ID,Male,White,Lung
6,2022,3.6043457825069964,ID,Male,White,Lung
7,2023,8.50478525440941,ID,Male,White,Lung
8,2024,0.0,ID,Male,White,Lung
9,2025,5.030390245922041,ID,Male,White,Lung
