,Year,Larynx,State,Gender,Race,Cancer
0,1999,6.5,ID,Male,White,Larynx
1,2000,5.6,ID,Male,White,Larynx
2,2001,5.0,ID,Male,White,Larynx
3,2002,5.9,ID,Male,White,Larynx
4,2003,5.5,ID,Male,White,Larynx
5,2004,4.2,ID,Male,White,Larynx
6,2005,5.8,ID,Male,White,Larynx
7,2006,4.8,ID,Male,White,Larynx
8,2007,5.1,ID,Male,White,Larynx
9,2008,4.9,ID,Male,White,Larynx
10,2009,4.0,ID,Male,White,Larynx
11,2010,4.7,ID,Male,White,Larynx
12,2011,4.2,ID,Male,White,Larynx
13,2012,3.8,ID,Male,White,Larynx
14,2013,4.4,ID,Male,White,Larynx
15,2014,4.5,ID,Male,White,Larynx
16,2015,4.6,ID,Male,White,Larynx
0,2016,4.36339305255318,ID,Male,White,Larynx
1,2017,3.072792628904719,ID,Male,White,Larynx
2,2018,2.4480475498466685,ID,Male,White,Larynx
3,2019,1.6449420425088093,ID,Male,White,Larynx
4,2020,2.7983700957283326,ID,Male,White,Larynx
5,2021,0.29612611293112,ID,Male,White,Larynx
6,2022,1.6271327116946372,ID,Male,White,Larynx
7,2023,0.0,ID,Male,White,Larynx
8,2024,0.5641284578720631,ID,Male,White,Larynx
9,2025,0.48932907362552247,ID,Male,White,Larynx
