,Year,Lung,State,Gender,Race,Cancer
0,1999,51.2,IL,Female,Black or African American,Lung
1,2000,44.7,IL,Female,Black or African American,Lung
2,2001,48.6,IL,Female,Black or African American,Lung
3,2002,55.7,IL,Female,Black or African American,Lung
4,2003,55.0,IL,Female,Black or African American,Lung
5,2004,55.4,IL,Female,Black or African American,Lung
6,2005,55.5,IL,Female,Black or African American,Lung
7,2006,60.9,IL,Female,Black or African American,Lung
8,2007,58.0,IL,Female,Black or African American,Lung
9,2008,58.8,IL,Female,Black or African American,Lung
10,2009,62.5,IL,Female,Black or African American,Lung
11,2010,60.4,IL,Female,Black or African American,Lung
12,2011,59.0,IL,Female,Black or African American,Lung
13,2012,66.7,IL,Female,Black or African American,Lung
14,2013,61.7,IL,Female,Black or African American,Lung
15,2014,62.9,IL,Female,Black or African American,Lung
16,2015,66.6,IL,Female,Black or African American,Lung
0,2016,66.27849545137684,IL,Female,Black or African American,Lung
1,2017,99.81535332130409,IL,Female,Black or African American,Lung
2,2018,40.34326549903533,IL,Female,Black or African American,Lung
3,2019,78.12119521230852,IL,Female,Black or African American,Lung
4,2020,0.9397429417251999,IL,Female,Black or African American,Lung
5,2021,95.62368746911548,IL,Female,Black or African American,Lung
6,2022,0.0,IL,Female,Black or African American,Lung
7,2023,142.4384027764492,IL,Female,Black or African American,Lung
8,2024,0.0,IL,Female,Black or African American,Lung
9,2025,240.09493924307617,IL,Female,Black or African American,Lung
