,Year,Larynx,State,Gender,Race,Cancer
0,1999,1.5,IL,Female,White,Larynx
1,2000,1.8,IL,Female,White,Larynx
2,2001,1.7,IL,Female,White,Larynx
3,2002,1.7,IL,Female,White,Larynx
4,2003,1.7,IL,Female,White,Larynx
5,2004,1.4,IL,Female,White,Larynx
6,2005,1.9,IL,Female,White,Larynx
7,2006,1.5,IL,Female,White,Larynx
8,2007,1.9,IL,Female,White,Larynx
9,2008,1.8,IL,Female,White,Larynx
10,2009,1.9,IL,Female,White,Larynx
11,2010,2.0,IL,Female,White,Larynx
12,2011,1.7,IL,Female,White,Larynx
13,2012,1.9,IL,Female,White,Larynx
14,2013,1.5,IL,Female,White,Larynx
15,2014,2.0,IL,Female,White,Larynx
16,2015,1.6,IL,Female,White,Larynx
0,2016,2.042705700268199,IL,Female,White,Larynx
1,2017,1.707226285048604,IL,Female,White,Larynx
2,2018,0.22090022933200504,IL,Female,White,Larynx
3,2019,1.6239634679966113,IL,Female,White,Larynx
4,2020,0.0,IL,Female,White,Larynx
5,2021,2.7251521478676173,IL,Female,White,Larynx
6,2022,0.0,IL,Female,White,Larynx
7,2023,4.694804439801501,IL,Female,White,Larynx
8,2024,0.0,IL,Female,White,Larynx
9,2025,10.220095820296585,IL,Female,White,Larynx
