,Year,Lung,State,Gender,Race,Cancer
0,1999,85.5,IL,Male,White,Lung
1,2000,83.4,IL,Male,White,Lung
2,2001,84.4,IL,Male,White,Lung
3,2002,84.9,IL,Male,White,Lung
4,2003,84.7,IL,Male,White,Lung
5,2004,80.5,IL,Male,White,Lung
6,2005,81.8,IL,Male,White,Lung
7,2006,83.0,IL,Male,White,Lung
8,2007,83.1,IL,Male,White,Lung
9,2008,82.2,IL,Male,White,Lung
10,2009,84.0,IL,Male,White,Lung
11,2010,80.1,IL,Male,White,Lung
12,2011,81.8,IL,Male,White,Lung
13,2012,79.8,IL,Male,White,Lung
14,2013,80.5,IL,Male,White,Lung
15,2014,82.3,IL,Male,White,Lung
16,2015,79.2,IL,Male,White,Lung
0,2016,80.05881904404335,IL,Male,White,Lung
1,2017,74.68860405046611,IL,Male,White,Lung
2,2018,61.880031614191665,IL,Male,White,Lung
3,2019,64.28753187424785,IL,Male,White,Lung
4,2020,62.866851837453495,IL,Male,White,Lung
5,2021,33.664072970763144,IL,Male,White,Lung
6,2022,34.93521318434733,IL,Male,White,Lung
7,2023,21.089473960134196,IL,Male,White,Lung
8,2024,28.151834066378548,IL,Male,White,Lung
9,2025,20.35023452143438,IL,Male,White,Lung
