,Year,Nasal,State,Gender,Race,Cancer
0,1999,0.9,IL,Male,White,Nasal
1,2000,0.8,IL,Male,White,Nasal
2,2001,0.7,IL,Male,White,Nasal
3,2002,1.3,IL,Male,White,Nasal
4,2003,0.8,IL,Male,White,Nasal
5,2004,0.8,IL,Male,White,Nasal
6,2005,0.9,IL,Male,White,Nasal
7,2006,0.9,IL,Male,White,Nasal
8,2007,1.1,IL,Male,White,Nasal
9,2008,0.9,IL,Male,White,Nasal
10,2009,0.7,IL,Male,White,Nasal
11,2010,0.8,IL,Male,White,Nasal
12,2011,1.0,IL,Male,White,Nasal
13,2012,0.8,IL,Male,White,Nasal
14,2013,1.0,IL,Male,White,Nasal
15,2014,1.0,IL,Male,White,Nasal
16,2015,0.9,IL,Male,White,Nasal
0,2016,0.9285198746586252,IL,Male,White,Nasal
1,2017,0.7428962109101439,IL,Male,White,Nasal
2,2018,1.0289875202043954,IL,Male,White,Nasal
3,2019,0.6851533604620927,IL,Male,White,Nasal
4,2020,0.7263152584001755,IL,Male,White,Nasal
5,2021,0.3754393352991646,IL,Male,White,Nasal
6,2022,0.38062625770307446,IL,Male,White,Nasal
7,2023,0.4618021401846097,IL,Male,White,Nasal
8,2024,0.2418925114231568,IL,Male,White,Nasal
9,2025,0.31103405418381236,IL,Male,White,Nasal
