,Year,Larynx,State,Gender,Race,Cancer
0,1999,7.8,IL,Male,White,Larynx
1,2000,8.1,IL,Male,White,Larynx
2,2001,7.2,IL,Male,White,Larynx
3,2002,7.8,IL,Male,White,Larynx
4,2003,6.9,IL,Male,White,Larynx
5,2004,7.0,IL,Male,White,Larynx
6,2005,7.2,IL,Male,White,Larynx
7,2006,7.2,IL,Male,White,Larynx
8,2007,7.2,IL,Male,White,Larynx
9,2008,7.5,IL,Male,White,Larynx
10,2009,6.9,IL,Male,White,Larynx
11,2010,7.1,IL,Male,White,Larynx
12,2011,7.4,IL,Male,White,Larynx
13,2012,6.7,IL,Male,White,Larynx
14,2013,6.7,IL,Male,White,Larynx
15,2014,7.0,IL,Male,White,Larynx
16,2015,6.9,IL,Male,White,Larynx
0,2016,6.776897821617268,IL,Male,White,Larynx
1,2017,4.508339930907546,IL,Male,White,Larynx
2,2018,5.159574589138502,IL,Male,White,Larynx
3,2019,1.4657649187044983,IL,Male,White,Larynx
4,2020,3.876556830001337,IL,Male,White,Larynx
5,2021,3.175237462976603,IL,Male,White,Larynx
6,2022,0.12710611481949297,IL,Male,White,Larynx
7,2023,2.4743036570542105,IL,Male,White,Larynx
8,2024,0.690649063523876,IL,Male,White,Larynx
9,2025,0.0,IL,Male,White,Larynx
