,Year,Lung,State,Gender,Race,Cancer
0,1999,73.6,IN,Male,Black or African American,Lung
1,2000,64.6,IN,Male,Black or African American,Lung
2,2001,67.9,IN,Male,Black or African American,Lung
3,2002,76.5,IN,Male,Black or African American,Lung
4,2003,75.8,IN,Male,Black or African American,Lung
5,2004,66.8,IN,Male,Black or African American,Lung
6,2005,72.2,IN,Male,Black or African American,Lung
7,2006,65.1,IN,Male,Black or African American,Lung
8,2007,72.4,IN,Male,Black or African American,Lung
9,2008,70.3,IN,Male,Black or African American,Lung
10,2009,75.9,IN,Male,Black or African American,Lung
11,2010,65.4,IN,Male,Black or African American,Lung
12,2011,65.8,IN,Male,Black or African American,Lung
13,2012,62.2,IN,Male,Black or African American,Lung
14,2013,55.1,IN,Male,Black or African American,Lung
15,2014,64.8,IN,Male,Black or African American,Lung
16,2015,50.8,IN,Male,Black or African American,Lung
0,2016,63.63310373873515,IN,Male,Black or African American,Lung
1,2017,43.44748189706232,IN,Male,Black or African American,Lung
2,2018,4.624052219894917,IN,Male,Black or African American,Lung
3,2019,28.91450851299704,IN,Male,Black or African American,Lung
4,2020,0.0,IN,Male,Black or African American,Lung
5,2021,40.03071803775535,IN,Male,Black or African American,Lung
6,2022,0.0,IN,Male,Black or African American,Lung
7,2023,57.76003878873439,IN,Male,Black or African American,Lung
8,2024,0.0,IN,Male,Black or African American,Lung
9,2025,107.31502405628726,IN,Male,Black or African American,Lung
