,Year,Lung,State,Gender,Race,Cancer
0,1999,65.0,IN,Female,White,Lung
1,2000,66.4,IN,Female,White,Lung
2,2001,68.6,IN,Female,White,Lung
3,2002,73.5,IN,Female,White,Lung
4,2003,76.2,IN,Female,White,Lung
5,2004,73.8,IN,Female,White,Lung
6,2005,74.0,IN,Female,White,Lung
7,2006,78.8,IN,Female,White,Lung
8,2007,76.9,IN,Female,White,Lung
9,2008,77.2,IN,Female,White,Lung
10,2009,78.8,IN,Female,White,Lung
11,2010,77.0,IN,Female,White,Lung
12,2011,77.6,IN,Female,White,Lung
13,2012,76.0,IN,Female,White,Lung
14,2013,80.4,IN,Female,White,Lung
15,2014,80.5,IN,Female,White,Lung
16,2015,82.2,IN,Female,White,Lung
0,2016,81.46221303743607,IN,Female,White,Lung
1,2017,56.430042258791715,IN,Female,White,Lung
2,2018,53.28466271029096,IN,Female,White,Lung
3,2019,28.668913589807616,IN,Female,White,Lung
4,2020,17.97465516085304,IN,Female,White,Lung
5,2021,18.593576265320166,IN,Female,White,Lung
6,2022,10.465794496673624,IN,Female,White,Lung
7,2023,7.6005819546090905,IN,Female,White,Lung
8,2024,6.97206032413489,IN,Female,White,Lung
9,2025,5.647836304243377,IN,Female,White,Lung
