,Year,Lung,State,Gender,Race,Cancer
0,1999,95.5,IN,Male,White,Lung
1,2000,92.7,IN,Male,White,Lung
2,2001,97.3,IN,Male,White,Lung
3,2002,93.9,IN,Male,White,Lung
4,2003,94.9,IN,Male,White,Lung
5,2004,91.2,IN,Male,White,Lung
6,2005,94.7,IN,Male,White,Lung
7,2006,96.3,IN,Male,White,Lung
8,2007,96.3,IN,Male,White,Lung
9,2008,99.0,IN,Male,White,Lung
10,2009,95.1,IN,Male,White,Lung
11,2010,95.7,IN,Male,White,Lung
12,2011,96.4,IN,Male,White,Lung
13,2012,95.2,IN,Male,White,Lung
14,2013,96.4,IN,Male,White,Lung
15,2014,94.0,IN,Male,White,Lung
16,2015,98.6,IN,Male,White,Lung
0,2016,96.6239021336924,IN,Male,White,Lung
1,2017,79.1654064438227,IN,Male,White,Lung
2,2018,45.50529725261008,IN,Male,White,Lung
3,2019,69.5289776896821,IN,Male,White,Lung
4,2020,54.167560303081636,IN,Male,White,Lung
5,2021,32.99519338128179,IN,Male,White,Lung
6,2022,34.379854073440846,IN,Male,White,Lung
7,2023,0.41483505013943756,IN,Male,White,Lung
8,2024,44.616688636401456,IN,Male,White,Lung
9,2025,0.0,IN,Male,White,Lung
