,Year,Nasal,State,Gender,Race,Cancer
0,1999,0.7,IN,Male,White,Nasal
1,2000,0.9,IN,Male,White,Nasal
2,2001,0.9,IN,Male,White,Nasal
3,2002,0.6,IN,Male,White,Nasal
4,2003,0.8,IN,Male,White,Nasal
5,2004,0.8,IN,Male,White,Nasal
6,2005,1.2,IN,Male,White,Nasal
7,2006,0.9,IN,Male,White,Nasal
8,2007,1.0,IN,Male,White,Nasal
9,2008,1.1,IN,Male,White,Nasal
10,2009,0.8,IN,Male,White,Nasal
11,2010,0.7,IN,Male,White,Nasal
12,2011,0.8,IN,Male,White,Nasal
13,2012,0.6,IN,Male,White,Nasal
14,2013,1.0,IN,Male,White,Nasal
15,2014,1.0,IN,Male,White,Nasal
16,2015,1.1,IN,Male,White,Nasal
0,2016,1.0408505230539098,IN,Male,White,Nasal
1,2017,0.4485388888264396,IN,Male,White,Nasal
2,2018,0.2274523597462147,IN,Male,White,Nasal
3,2019,0.33893494069759644,IN,Male,White,Nasal
4,2020,0.5819157942354725,IN,Male,White,Nasal
5,2021,0.49605029200970213,IN,Male,White,Nasal
6,2022,0.2998154560984989,IN,Male,White,Nasal
7,2023,0.1227940035701682,IN,Male,White,Nasal
8,2024,0.06087590728716913,IN,Male,White,Nasal
9,2025,0.129244565375375,IN,Male,White,Nasal
