,Year,Larynx,State,Gender,Race,Cancer
0,1999,7.5,IN,Male,White,Larynx
1,2000,7.3,IN,Male,White,Larynx
2,2001,6.8,IN,Male,White,Larynx
3,2002,6.9,IN,Male,White,Larynx
4,2003,7.2,IN,Male,White,Larynx
5,2004,7.9,IN,Male,White,Larynx
6,2005,7.3,IN,Male,White,Larynx
7,2006,7.8,IN,Male,White,Larynx
8,2007,7.8,IN,Male,White,Larynx
9,2008,6.9,IN,Male,White,Larynx
10,2009,8.1,IN,Male,White,Larynx
11,2010,8.4,IN,Male,White,Larynx
12,2011,8.6,IN,Male,White,Larynx
13,2012,7.1,IN,Male,White,Larynx
14,2013,7.6,IN,Male,White,Larynx
15,2014,7.0,IN,Male,White,Larynx
16,2015,7.4,IN,Male,White,Larynx
0,2016,7.768347762277516,IN,Male,White,Larynx
1,2017,5.727680326322866,IN,Male,White,Larynx
2,2018,5.710388967863144,IN,Male,White,Larynx
3,2019,5.163102591504803,IN,Male,White,Larynx
4,2020,4.4584399287199545,IN,Male,White,Larynx
5,2021,4.725867468998408,IN,Male,White,Larynx
6,2022,1.589165899551297,IN,Male,White,Larynx
7,2023,2.729617666016164,IN,Male,White,Larynx
8,2024,1.4713827930216352,IN,Male,White,Larynx
9,2025,2.363541949776379,IN,Male,White,Larynx
