,Year,Lung,State,Gender,Race,Cancer
0,1999,58.5,KS,Female,White,Lung
1,2000,53.9,KS,Female,White,Lung
2,2001,56.7,KS,Female,White,Lung
3,2002,56.2,KS,Female,White,Lung
4,2003,57.8,KS,Female,White,Lung
5,2004,56.8,KS,Female,White,Lung
6,2005,61.6,KS,Female,White,Lung
7,2006,63.9,KS,Female,White,Lung
8,2007,60.8,KS,Female,White,Lung
9,2008,61.4,KS,Female,White,Lung
10,2009,66.8,KS,Female,White,Lung
11,2010,64.1,KS,Female,White,Lung
12,2011,64.3,KS,Female,White,Lung
13,2012,63.5,KS,Female,White,Lung
14,2013,68.0,KS,Female,White,Lung
15,2014,66.3,KS,Female,White,Lung
16,2015,71.2,KS,Female,White,Lung
0,2016,68.80622158065471,KS,Female,White,Lung
1,2017,59.94110164516266,KS,Female,White,Lung
2,2018,69.27590730050179,KS,Female,White,Lung
3,2019,58.908187596874384,KS,Female,White,Lung
4,2020,26.58407252805607,KS,Female,White,Lung
5,2021,61.00838852362114,KS,Female,White,Lung
6,2022,15.292393026317768,KS,Female,White,Lung
7,2023,40.42058989910066,KS,Female,White,Lung
8,2024,7.932015969340284,KS,Female,White,Lung
9,2025,53.40642140382957,KS,Female,White,Lung
