,Year,Lung,State,Gender,Race,Cancer
0,1999,81.5,KS,Male,White,Lung
1,2000,80.3,KS,Male,White,Lung
2,2001,80.1,KS,Male,White,Lung
3,2002,76.7,KS,Male,White,Lung
4,2003,81.8,KS,Male,White,Lung
5,2004,79.1,KS,Male,White,Lung
6,2005,80.4,KS,Male,White,Lung
7,2006,78.9,KS,Male,White,Lung
8,2007,84.6,KS,Male,White,Lung
9,2008,81.2,KS,Male,White,Lung
10,2009,74.7,KS,Male,White,Lung
11,2010,70.0,KS,Male,White,Lung
12,2011,78.1,KS,Male,White,Lung
13,2012,75.8,KS,Male,White,Lung
14,2013,80.1,KS,Male,White,Lung
15,2014,76.3,KS,Male,White,Lung
16,2015,71.3,KS,Male,White,Lung
0,2016,64.92050508572913,KS,Male,White,Lung
1,2017,28.542518161386965,KS,Male,White,Lung
2,2018,80.22558522559137,KS,Male,White,Lung
3,2019,86.67088032785624,KS,Male,White,Lung
4,2020,32.931005344650885,KS,Male,White,Lung
5,2021,42.77948469517652,KS,Male,White,Lung
6,2022,32.102306409993815,KS,Male,White,Lung
7,2023,0.9582884426104563,KS,Male,White,Lung
8,2024,26.375717837287382,KS,Male,White,Lung
9,2025,57.490447822992664,KS,Male,White,Lung
