,Year,Larynx,State,Gender,Race,Cancer
0,1999,2.9,KY,Female,White,Larynx
1,2000,2.7,KY,Female,White,Larynx
2,2001,3.5,KY,Female,White,Larynx
3,2002,2.3,KY,Female,White,Larynx
4,2003,3.0,KY,Female,White,Larynx
5,2004,2.9,KY,Female,White,Larynx
6,2005,2.4,KY,Female,White,Larynx
7,2006,3.5,KY,Female,White,Larynx
8,2007,3.0,KY,Female,White,Larynx
9,2008,3.0,KY,Female,White,Larynx
10,2009,3.4,KY,Female,White,Larynx
11,2010,3.5,KY,Female,White,Larynx
12,2011,2.9,KY,Female,White,Larynx
13,2012,3.2,KY,Female,White,Larynx
14,2013,2.7,KY,Female,White,Larynx
15,2014,4.1,KY,Female,White,Larynx
16,2015,3.2,KY,Female,White,Larynx
0,2016,3.412773588661611,KY,Female,White,Larynx
1,2017,4.242689413627277,KY,Female,White,Larynx
2,2018,2.601704757197857,KY,Female,White,Larynx
3,2019,4.147583836208508,KY,Female,White,Larynx
4,2020,2.2079676702266138,KY,Female,White,Larynx
5,2021,3.2666770156663434,KY,Female,White,Larynx
6,2022,0.8012237011579506,KY,Female,White,Larynx
7,2023,3.4171972037697778,KY,Female,White,Larynx
8,2024,0.0,KY,Female,White,Larynx
9,2025,4.06890231475899,KY,Female,White,Larynx
