,Year,Larynx,State,Gender,Race,Cancer
0,1999,9.4,KY,Male,White,Larynx
1,2000,10.8,KY,Male,White,Larynx
2,2001,10.1,KY,Male,White,Larynx
3,2002,10.1,KY,Male,White,Larynx
4,2003,9.1,KY,Male,White,Larynx
5,2004,9.9,KY,Male,White,Larynx
6,2005,10.2,KY,Male,White,Larynx
7,2006,10.1,KY,Male,White,Larynx
8,2007,10.5,KY,Male,White,Larynx
9,2008,10.7,KY,Male,White,Larynx
10,2009,10.5,KY,Male,White,Larynx
11,2010,10.4,KY,Male,White,Larynx
12,2011,10.9,KY,Male,White,Larynx
13,2012,11.9,KY,Male,White,Larynx
14,2013,11.2,KY,Male,White,Larynx
15,2014,10.3,KY,Male,White,Larynx
16,2015,9.8,KY,Male,White,Larynx
0,2016,10.287364510299726,KY,Male,White,Larynx
1,2017,0.07224026913815379,KY,Male,White,Larynx
2,2018,5.519727554732454,KY,Male,White,Larynx
3,2019,10.406062693903852,KY,Male,White,Larynx
4,2020,2.985222575803889,KY,Male,White,Larynx
5,2021,0.0,KY,Male,White,Larynx
6,2022,3.5509840683968905,KY,Male,White,Larynx
7,2023,3.2719684267916804,KY,Male,White,Larynx
8,2024,0.0,KY,Male,White,Larynx
9,2025,0.8429740779698642,KY,Male,White,Larynx
