,Year,Lung,State,Gender,Race,Cancer
0,1999,90.9,LA,Male,Black or African American,Lung
1,2000,81.6,LA,Male,Black or African American,Lung
2,2001,85.8,LA,Male,Black or African American,Lung
3,2002,79.1,LA,Male,Black or African American,Lung
4,2003,80.3,LA,Male,Black or African American,Lung
5,2004,82.9,LA,Male,Black or African American,Lung
6,2005,79.9,LA,Male,Black or African American,Lung
7,2006,86.7,LA,Male,Black or African American,Lung
8,2007,76.8,LA,Male,Black or African American,Lung
9,2008,80.6,LA,Male,Black or African American,Lung
10,2009,87.1,LA,Male,Black or African American,Lung
11,2010,82.5,LA,Male,Black or African American,Lung
12,2011,76.6,LA,Male,Black or African American,Lung
13,2012,84.0,LA,Male,Black or African American,Lung
14,2013,83.3,LA,Male,Black or African American,Lung
15,2014,87.2,LA,Male,Black or African American,Lung
16,2015,78.2,LA,Male,Black or African American,Lung
0,2016,79.45102288276561,LA,Male,Black or African American,Lung
1,2017,130.49302258478014,LA,Male,Black or African American,Lung
2,2018,91.35231040691218,LA,Male,Black or African American,Lung
3,2019,99.50902563480437,LA,Male,Black or African American,Lung
4,2020,64.15831007225236,LA,Male,Black or African American,Lung
5,2021,54.0161073430599,LA,Male,Black or African American,Lung
6,2022,106.12038737074931,LA,Male,Black or African American,Lung
7,2023,0.0,LA,Male,Black or African American,Lung
8,2024,129.108136760744,LA,Male,Black or African American,Lung
9,2025,0.0,LA,Male,Black or African American,Lung
