,Year,Larynx,State,Gender,Race,Cancer
0,1999,9.9,LA,Male,Black or African American,Larynx
1,2000,9.7,LA,Male,Black or African American,Larynx
2,2001,10.9,LA,Male,Black or African American,Larynx
3,2002,10.1,LA,Male,Black or African American,Larynx
4,2003,11.2,LA,Male,Black or African American,Larynx
5,2004,10.6,LA,Male,Black or African American,Larynx
6,2005,9.0,LA,Male,Black or African American,Larynx
7,2006,10.0,LA,Male,Black or African American,Larynx
8,2007,10.9,LA,Male,Black or African American,Larynx
9,2008,10.0,LA,Male,Black or African American,Larynx
10,2009,8.9,LA,Male,Black or African American,Larynx
11,2010,9.4,LA,Male,Black or African American,Larynx
12,2011,10.0,LA,Male,Black or African American,Larynx
13,2012,9.8,LA,Male,Black or African American,Larynx
14,2013,10.7,LA,Male,Black or African American,Larynx
15,2014,13.8,LA,Male,Black or African American,Larynx
16,2015,10.5,LA,Male,Black or African American,Larynx
0,2016,6.735149355432049,LA,Male,Black or African American,Larynx
1,2017,1.51901873330352,LA,Male,Black or African American,Larynx
2,2018,20.289682632581194,LA,Male,Black or African American,Larynx
3,2019,5.6505339342289425,LA,Male,Black or African American,Larynx
4,2020,0.0,LA,Male,Black or African American,Larynx
5,2021,29.920860334018435,LA,Male,Black or African American,Larynx
6,2022,6.84265253458333,LA,Male,Black or African American,Larynx
7,2023,0.0,LA,Male,Black or African American,Larynx
8,2024,45.97878306685201,LA,Male,Black or African American,Larynx
9,2025,38.70118447329786,LA,Male,Black or African American,Larynx
