,Year,Lung,State,Gender,Race,Cancer
0,1999,67.6,LA,Female,White,Lung
1,2000,69.7,LA,Female,White,Lung
2,2001,74.9,LA,Female,White,Lung
3,2002,69.0,LA,Female,White,Lung
4,2003,73.9,LA,Female,White,Lung
5,2004,74.8,LA,Female,White,Lung
6,2005,75.4,LA,Female,White,Lung
7,2006,75.0,LA,Female,White,Lung
8,2007,79.3,LA,Female,White,Lung
9,2008,76.5,LA,Female,White,Lung
10,2009,75.6,LA,Female,White,Lung
11,2010,71.9,LA,Female,White,Lung
12,2011,73.1,LA,Female,White,Lung
13,2012,76.8,LA,Female,White,Lung
14,2013,78.0,LA,Female,White,Lung
15,2014,75.4,LA,Female,White,Lung
16,2015,76.2,LA,Female,White,Lung
0,2016,76.43321575476303,LA,Female,White,Lung
1,2017,12.84116119246337,LA,Female,White,Lung
2,2018,37.69526646608668,LA,Female,White,Lung
3,2019,51.58171889757975,LA,Female,White,Lung
4,2020,24.67057013206274,LA,Female,White,Lung
5,2021,18.249264422787828,LA,Female,White,Lung
6,2022,21.82029714663156,LA,Female,White,Lung
7,2023,5.6947062791377725,LA,Female,White,Lung
8,2024,4.0279249272411555,LA,Female,White,Lung
9,2025,14.130863895349565,LA,Female,White,Lung
