,Year,Lung,State,Gender,Race,Cancer
0,1999,74.3,MA,Female,White,Lung
1,2000,75.7,MA,Female,White,Lung
2,2001,78.1,MA,Female,White,Lung
3,2002,78.1,MA,Female,White,Lung
4,2003,79.3,MA,Female,White,Lung
5,2004,82.4,MA,Female,White,Lung
6,2005,86.4,MA,Female,White,Lung
7,2006,86.2,MA,Female,White,Lung
8,2007,85.2,MA,Female,White,Lung
9,2008,89.2,MA,Female,White,Lung
10,2009,88.4,MA,Female,White,Lung
11,2010,85.1,MA,Female,White,Lung
12,2011,84.1,MA,Female,White,Lung
13,2012,84.3,MA,Female,White,Lung
14,2013,86.4,MA,Female,White,Lung
15,2014,83.2,MA,Female,White,Lung
16,2015,88.4,MA,Female,White,Lung
0,2016,87.80185835409881,MA,Female,White,Lung
1,2017,19.752173558560948,MA,Female,White,Lung
2,2018,4.890889535341806,MA,Female,White,Lung
3,2019,14.193786325634811,MA,Female,White,Lung
4,2020,0.0,MA,Female,White,Lung
5,2021,11.608802236008998,MA,Female,White,Lung
6,2022,4.603894600756732,MA,Female,White,Lung
7,2023,26.073854363008323,MA,Female,White,Lung
8,2024,0.0,MA,Female,White,Lung
9,2025,59.22275766924204,MA,Female,White,Lung
