,Year,Lung,State,Gender,Race,Cancer
0,1999,88.1,MA,Male,White,Lung
1,2000,85.3,MA,Male,White,Lung
2,2001,87.0,MA,Male,White,Lung
3,2002,88.9,MA,Male,White,Lung
4,2003,85.7,MA,Male,White,Lung
5,2004,85.7,MA,Male,White,Lung
6,2005,90.6,MA,Male,White,Lung
7,2006,86.9,MA,Male,White,Lung
8,2007,87.6,MA,Male,White,Lung
9,2008,87.7,MA,Male,White,Lung
10,2009,87.7,MA,Male,White,Lung
11,2010,79.9,MA,Male,White,Lung
12,2011,83.8,MA,Male,White,Lung
13,2012,80.8,MA,Male,White,Lung
14,2013,77.9,MA,Male,White,Lung
15,2014,81.7,MA,Male,White,Lung
16,2015,79.2,MA,Male,White,Lung
0,2016,76.26343586527723,MA,Male,White,Lung
1,2017,48.669114268375225,MA,Male,White,Lung
2,2018,24.56196243295068,MA,Male,White,Lung
3,2019,0.0,MA,Male,White,Lung
4,2020,0.0,MA,Male,White,Lung
5,2021,5.380118894615753,MA,Male,White,Lung
6,2022,0.0,MA,Male,White,Lung
7,2023,20.824609535689746,MA,Male,White,Lung
8,2024,0.0,MA,Male,White,Lung
9,2025,0.0,MA,Male,White,Lung
