,Year,Larynx,State,Gender,Race,Cancer
0,1999,8.5,MA,Male,White,Larynx
1,2000,8.5,MA,Male,White,Larynx
2,2001,6.8,MA,Male,White,Larynx
3,2002,7.5,MA,Male,White,Larynx
4,2003,7.7,MA,Male,White,Larynx
5,2004,7.5,MA,Male,White,Larynx
6,2005,7.5,MA,Male,White,Larynx
7,2006,8.0,MA,Male,White,Larynx
8,2007,6.7,MA,Male,White,Larynx
9,2008,6.7,MA,Male,White,Larynx
10,2009,8.3,MA,Male,White,Larynx
11,2010,6.9,MA,Male,White,Larynx
12,2011,6.2,MA,Male,White,Larynx
13,2012,6.3,MA,Male,White,Larynx
14,2013,7.8,MA,Male,White,Larynx
15,2014,7.1,MA,Male,White,Larynx
16,2015,7.0,MA,Male,White,Larynx
0,2016,5.418626052491655,MA,Male,White,Larynx
1,2017,7.954015432927662,MA,Male,White,Larynx
2,2018,10.109794361844543,MA,Male,White,Larynx
3,2019,8.859416369927116,MA,Male,White,Larynx
4,2020,2.8045967820393063,MA,Male,White,Larynx
5,2021,8.844416932815738,MA,Male,White,Larynx
6,2022,0.0,MA,Male,White,Larynx
7,2023,10.718750256582553,MA,Male,White,Larynx
8,2024,0.0,MA,Male,White,Larynx
9,2025,10.916999899057956,MA,Male,White,Larynx
