,Year,Larynx,State,Gender,Race,Cancer
0,1999,2.3,MD,Female,White,Larynx
1,2000,2.2,MD,Female,White,Larynx
2,2001,2.3,MD,Female,White,Larynx
3,2002,1.7,MD,Female,White,Larynx
4,2003,1.2,MD,Female,White,Larynx
5,2004,2.6,MD,Female,White,Larynx
6,2005,1.6,MD,Female,White,Larynx
7,2006,1.8,MD,Female,White,Larynx
8,2007,1.8,MD,Female,White,Larynx
9,2008,1.8,MD,Female,White,Larynx
10,2009,1.7,MD,Female,White,Larynx
11,2010,1.4,MD,Female,White,Larynx
12,2011,1.9,MD,Female,White,Larynx
13,2012,2.2,MD,Female,White,Larynx
14,2013,1.7,MD,Female,White,Larynx
15,2014,1.7,MD,Female,White,Larynx
16,2015,1.6,MD,Female,White,Larynx
0,2016,1.8547560971904036,MD,Female,White,Larynx
1,2017,1.6016368979067108,MD,Female,White,Larynx
2,2018,1.1920944301813639,MD,Female,White,Larynx
3,2019,0.9390814653686896,MD,Female,White,Larynx
4,2020,0.6314411125027313,MD,Female,White,Larynx
5,2021,0.38294046079855953,MD,Female,White,Larynx
6,2022,0.4501704774032863,MD,Female,White,Larynx
7,2023,0.1059912802852433,MD,Female,White,Larynx
8,2024,0.2715942355302543,MD,Female,White,Larynx
9,2025,0.0,MD,Female,White,Larynx
