,Year,Lung,State,Gender,Race,Cancer
0,1999,89.1,MD,Male,White,Lung
1,2000,83.8,MD,Male,White,Lung
2,2001,79.1,MD,Male,White,Lung
3,2002,81.9,MD,Male,White,Lung
4,2003,84.4,MD,Male,White,Lung
5,2004,82.2,MD,Male,White,Lung
6,2005,82.2,MD,Male,White,Lung
7,2006,82.9,MD,Male,White,Lung
8,2007,80.6,MD,Male,White,Lung
9,2008,82.2,MD,Male,White,Lung
10,2009,75.5,MD,Male,White,Lung
11,2010,75.6,MD,Male,White,Lung
12,2011,73.9,MD,Male,White,Lung
13,2012,74.1,MD,Male,White,Lung
14,2013,74.8,MD,Male,White,Lung
15,2014,73.2,MD,Male,White,Lung
16,2015,77.8,MD,Male,White,Lung
0,2016,74.64040633675559,MD,Male,White,Lung
1,2017,31.264274927647218,MD,Male,White,Lung
2,2018,0.0,MD,Male,White,Lung
3,2019,0.0,MD,Male,White,Lung
4,2020,2.3272705178775084,MD,Male,White,Lung
5,2021,0.0,MD,Male,White,Lung
6,2022,5.577951445837256,MD,Male,White,Lung
7,2023,0.0,MD,Male,White,Lung
8,2024,7.320370810222108,MD,Male,White,Lung
9,2025,0.0,MD,Male,White,Lung
