,Year,Larynx,State,Gender,Race,Cancer
0,1999,8.0,MD,Male,White,Larynx
1,2000,7.3,MD,Male,White,Larynx
2,2001,6.2,MD,Male,White,Larynx
3,2002,7.4,MD,Male,White,Larynx
4,2003,7.0,MD,Male,White,Larynx
5,2004,6.7,MD,Male,White,Larynx
6,2005,7.0,MD,Male,White,Larynx
7,2006,6.2,MD,Male,White,Larynx
8,2007,7.6,MD,Male,White,Larynx
9,2008,6.8,MD,Male,White,Larynx
10,2009,7.1,MD,Male,White,Larynx
11,2010,5.9,MD,Male,White,Larynx
12,2011,6.3,MD,Male,White,Larynx
13,2012,5.0,MD,Male,White,Larynx
14,2013,6.8,MD,Male,White,Larynx
15,2014,5.7,MD,Male,White,Larynx
16,2015,5.0,MD,Male,White,Larynx
0,2016,5.425766476004076,MD,Male,White,Larynx
1,2017,5.070980024824904,MD,Male,White,Larynx
2,2018,3.325037379240503,MD,Male,White,Larynx
3,2019,5.390383658012224,MD,Male,White,Larynx
4,2020,1.4617695395741048,MD,Male,White,Larynx
5,2021,4.13127177126023,MD,Male,White,Larynx
6,2022,0.0,MD,Male,White,Larynx
7,2023,5.115034821499135,MD,Male,White,Larynx
8,2024,0.0,MD,Male,White,Larynx
9,2025,7.701645610832795,MD,Male,White,Larynx
