,Year,Lung,State,Gender,Race,Cancer
0,1999,72.6,ME,Female,White,Lung
1,2000,78.4,ME,Female,White,Lung
2,2001,83.6,ME,Female,White,Lung
3,2002,81.7,ME,Female,White,Lung
4,2003,83.7,ME,Female,White,Lung
5,2004,86.8,ME,Female,White,Lung
6,2005,87.6,ME,Female,White,Lung
7,2006,89.4,ME,Female,White,Lung
8,2007,90.4,ME,Female,White,Lung
9,2008,92.1,ME,Female,White,Lung
10,2009,96.4,ME,Female,White,Lung
11,2010,95.1,ME,Female,White,Lung
12,2011,88.5,ME,Female,White,Lung
13,2012,102.6,ME,Female,White,Lung
14,2013,97.2,ME,Female,White,Lung
15,2014,98.7,ME,Female,White,Lung
16,2015,101.2,ME,Female,White,Lung
0,2016,99.36603450428161,ME,Female,White,Lung
1,2017,156.13589555962707,ME,Female,White,Lung
2,2018,89.69440449684406,ME,Female,White,Lung
3,2019,120.05417890161861,ME,Female,White,Lung
4,2020,70.22171622605836,ME,Female,White,Lung
5,2021,56.88287717211381,ME,Female,White,Lung
6,2022,127.5210977637045,ME,Female,White,Lung
7,2023,0.0,ME,Female,White,Lung
8,2024,202.62444194401564,ME,Female,White,Lung
9,2025,0.0,ME,Female,White,Lung
