,Year,Lung,State,Gender,Race,Cancer
0,1999,105.3,ME,Male,White,Lung
1,2000,108.7,ME,Male,White,Lung
2,2001,106.1,ME,Male,White,Lung
3,2002,103.7,ME,Male,White,Lung
4,2003,107.6,ME,Male,White,Lung
5,2004,110.9,ME,Male,White,Lung
6,2005,107.2,ME,Male,White,Lung
7,2006,108.3,ME,Male,White,Lung
8,2007,109.3,ME,Male,White,Lung
9,2008,105.2,ME,Male,White,Lung
10,2009,111.2,ME,Male,White,Lung
11,2010,105.6,ME,Male,White,Lung
12,2011,102.0,ME,Male,White,Lung
13,2012,111.1,ME,Male,White,Lung
14,2013,120.3,ME,Male,White,Lung
15,2014,111.5,ME,Male,White,Lung
16,2015,107.2,ME,Male,White,Lung
0,2016,106.81051637735763,ME,Male,White,Lung
1,2017,60.63387951686634,ME,Male,White,Lung
2,2018,158.1245133496692,ME,Male,White,Lung
3,2019,114.45542480841189,ME,Male,White,Lung
4,2020,70.55548717775264,ME,Male,White,Lung
5,2021,107.6835429830715,ME,Male,White,Lung
6,2022,11.444948153099546,ME,Male,White,Lung
7,2023,30.817508728936822,ME,Male,White,Lung
8,2024,139.8347910049888,ME,Male,White,Lung
9,2025,0.10007252270315803,ME,Male,White,Lung
