,Year,Larynx,State,Gender,Race,Cancer
0,1999,7.1,ME,Male,White,Larynx
1,2000,8.1,ME,Male,White,Larynx
2,2001,7.9,ME,Male,White,Larynx
3,2002,7.5,ME,Male,White,Larynx
4,2003,7.9,ME,Male,White,Larynx
5,2004,8.7,ME,Male,White,Larynx
6,2005,9.6,ME,Male,White,Larynx
7,2006,10.0,ME,Male,White,Larynx
8,2007,8.9,ME,Male,White,Larynx
9,2008,7.9,ME,Male,White,Larynx
10,2009,10.2,ME,Male,White,Larynx
11,2010,7.0,ME,Male,White,Larynx
12,2011,8.3,ME,Male,White,Larynx
13,2012,10.2,ME,Male,White,Larynx
14,2013,8.1,ME,Male,White,Larynx
15,2014,9.6,ME,Male,White,Larynx
16,2015,7.7,ME,Male,White,Larynx
0,2016,7.715679975259711,ME,Male,White,Larynx
1,2017,7.456847324567355,ME,Male,White,Larynx
2,2018,6.170273574628805,ME,Male,White,Larynx
3,2019,2.962191628873377,ME,Male,White,Larynx
4,2020,8.025697724890009,ME,Male,White,Larynx
5,2021,0.0,ME,Male,White,Larynx
6,2022,5.249081915648796,ME,Male,White,Larynx
7,2023,1.6036917685608643,ME,Male,White,Larynx
8,2024,0.0,ME,Male,White,Larynx
9,2025,9.166365808391069,ME,Male,White,Larynx
